"id","claim","label","directness","relationship","scope","sources","limits","last_human_verified"
"WD-C01","仕事設計は、動機づけ特性だけでなく、知識特性、社会特性、物理・文脈特性を含む多次元の設計問題である。","A","仕事設計直接研究","測定・統合","仕事設計","morgeson-humphrey-2006|humphrey-2007","単一得点へ還元しない|尺度利用条件を確認","2026-07-12"
"WD-C02","技能多様性、タスク完結性・重要性、自律性、仕事からのフィードバックは複数結果と関連するが、仕事特性モデルの全経路が同程度に支持されたわけではない。","A","仕事設計直接研究","理論・メタ分析上の関連","仕事特性モデル","hackman-oldham-1976|fried-ferris-1987","個人差・職務差|相関研究を含む","2026-07-12"
"WD-C03","裁量・自律性は概して望ましい結果と関連するが、目的・能力・情報・資源・協調なしに責任だけを渡すこととは異なる。","A","仕事設計直接研究","関連・理論","裁量・自律性","humphrey-2007|gagne-deci-2005|vandenbroeck-2016","放任、孤立、自己責任化と区別|望まない裁量を強制しない","2026-07-12"
"WD-C04","高要求度と低裁量の組合せは重要な仮説だが、典型的な要求度×裁量交互作用はウェルビーイング研究で一貫して支持されない。","A","仕事設計直接研究","理論・メタ分析","要求度—裁量","karasek-1979|huth-2023","要求度・裁量の主効果や他の相互作用を否定しない","2026-07-12"
"WD-C05","仕事要求度と仕事資源は異なる消耗・動機づけ過程に関係し得るが、あらゆる変数を事後的に要求・資源へ分類してはならない。","A","仕事設計直接研究","モデル・統合","JD-R","demerouti-2001|bakker-demerouti-2007|bakker-demerouti-2017","構成概念・時間順序・職種固有性を確認","2026-07-12"
"WD-C06","仕事量は負担・態度等と関連するが、主観的忙しさだけでなく、件数、複雑性、変動、期限、人員、未処理、割込みを分けて測る必要がある。","A","仕事設計直接研究","メタ分析上の関連","仕事量","bowling-2015","因果方向|仕事量の定義・測定の異質性","2026-07-12"
"WD-C07","週55時間以上の長時間労働は虚血性心疾患・脳卒中の世界的負担と関連し、本人の希望だけで安全性を正当化できない。","A","隣接研究","疾病負担推計","労働時間","pega-2021","モデル推計|個人診断ではない|勤務間隔・夜勤等を別途確認","2026-07-12"
"WD-C08","役割曖昧性・役割葛藤は仕事態度や業績等と関連するが、役割明確化は細かな監視や例外を許さない硬直化を意味しない。","A","仕事設計直接研究","メタ分析上の関連","役割","rizzo-1970|jackson-schuler-1985|tubre-collins-2000","因果方向|役割交渉・優先順位・例外処理を含める","2026-07-12"
"WD-C09","仕事が他者へ与える影響を見えるようにすることは、特定の職務で動機・業績へ影響し得る。","B","仕事設計直接研究","概念・フィールド実験","タスク重要性・関係的設計","grant-2007|grant-2008","感情労働・使命感の強制・受益者接触の安全性に注意","2026-07-12"
"WD-C10","自律性・有能感・関係性の基本的心理欲求は職場の動機・ウェルビーイング等と関連する。","A","隣接研究","メタ分析的レビュー","心理欲求","gagne-deci-2005|vandenbroeck-2016","制度上の裁量と主観的欲求充足を区別|因果確定ではない","2026-07-12"
"WD-C11","テレワークは平均として小さな有益関連を示すが、頻度、選択可能性、職務、家庭環境、設備、関係により経験が異なる。","A","仕事設計直接研究","メタ分析上の関連","テレワーク","gajendran-harrison-2007","パンデミック前研究中心|強制的在宅勤務へ直結しない","2026-07-12"
"WD-C12","勤務裁量と管理職支援を組み合わせた組織的介入は、特定の高技術職場で仕事家庭葛藤・ウェルビーイング等を改善した。","A","仕事設計直接研究","組織単位介入","柔軟勤務・管理職支援","kelly-2014|moen-2016","特定企業・職種|複合介入|一般化に注意","2026-07-12"
"WD-C13","従業員の選択・裁量を高める柔軟勤務は健康・ウェルビーイングに有益となり得るが、使用者都合の不安定な柔軟化とは区別する。","B","仕事設計直接研究","システマティックレビュー","柔軟勤務","joyce-2010","研究数・質|介入の異質性","2026-07-12"
"WD-C14","仕事中の割込みの影響は種類、タイミング、仕事、評価、回復可能性に依存し、通知を切るだけでは構造的な割込みを解決しない。","B","仕事設計直接研究","統合レビュー","割込み","puranik-2019","直接比較効果の不足|緊急対応との両立","2026-07-12"
"WD-C15","仕事強化には仕事量だけでなく、計画・意思決定・学習・キャリア等の加速があり得る。","B","仕事設計直接研究","測定・関連","仕事強化","kubicek-2015","自己報告|尺度開発研究|因果確定ではない","2026-07-12"
"WD-C16","ジョブ・クラフティングは従業員が仕事の課題・関係・認知や要求度・資源を変える行動であり、公式な仕事再設計と同義ではない。","A","仕事設計直接研究","概念整理","ジョブ・クラフティング","wrzesniewski-dutton-2001|tims-bakker-2010|bruning-campion-2018","権限・安全・同僚への影響を確認","2026-07-12"
"WD-C17","ジョブ・クラフティングは複数の仕事特性・態度・結果と関連するが、相関研究が多く、良い結果をクラフティングの因果効果と断定できない。","A","仕事設計直接研究","メタ分析上の関連","ジョブ・クラフティング","rudolph-2017|lichtenthaler-2019","逆因果・共通方法|促進・予防焦点で結果が異なる","2026-07-12"
"WD-C18","ジョブ・クラフティング介入は一部の近接結果を改善し得るが、研究基盤・追跡期間が限られ、構造的な過重労働の代替ではない。","B","仕事設計直接研究","介入メタ分析","ジョブ・クラフティング介入","oprea-2019","研究数・標本|個人介入中心|長期成果","2026-07-12"
"WD-C19","仕事設計の改善を従業員個人の工夫・レジリエンス・時間管理だけへ委ねることを本ナビは支持しない。","不支持","混合","組織責任","過重労働・クラフティング","who-2022|parker-2017|oprea-2019","本人の能動性を否定せず組織的原因と権限を同時に扱う","2026-07-12"
"WD-C20","役割明確化では、目的、成果、優先順位、権限、依存先、例外、エスカレーションを共同で確認する。","実務原則","混合","設計原則","役割・協働","rizzo-1970|tubre-collins-2000|humphrey-2007","細かな手順統制と区別|変化時に更新","2026-07-12"
"WD-C21","裁量を増やすときは、決められる範囲、必要情報、能力、時間、予算、支援、失敗時の保護も同時に設計する。","実務原則","混合","権限・資源整合","裁量・権限","karasek-1979|humphrey-2007|gagne-deci-2005","責任だけの委譲を避ける","2026-07-12"
"WD-C22","合理的配慮や職場調整は、本人の診断開示を必要以上に求めず、仕事上の障壁と必要な変更を中心に設計する。","実務原則","公式指針・制度","健康・包摂","合理的配慮・復職","who-2022|ilo-1997","国内法・専門職・本人の選択を確認","2026-07-12"
"WD-C23","作業ログ、通信、位置、感情・健康推定等の労働者データは、目的限定、必要最小限、透明性、アクセス・訂正等の権利を要する。","実務原則","公式指針・制度","労働者データ","モニタリング","ilo-1997|eu-platform-2024","EU法の直接適用範囲と国内法を区別","2026-07-12"
"WD-C24","アルゴリズムが仕事配分、シフト、評価、報酬、不利益判断を支える場合、説明可能性、人の監督、異議申立て、是正、安全を設計する。","実務原則","公式指針・制度","アルゴリズム管理","自動監視・意思決定","eu-platform-2024|ilo-1997","EUプラットフォーム労働指令を一般企業・日本へ直接適用しない","2026-07-12"
"WD-C25","応答時間、稼働率、処理件数等の単一指標を個人ランキング・自動制裁へ直結することを本ナビは支持しない。","不支持","予防原則に基づく推論","測定反応・監視","業績指標・アルゴリズム管理","eu-platform-2024|ilo-1997|kubicek-2015","品質、安全、協働、ケース難度、データ誤り、異議申立てを考慮","2026-07-12"
"WD-C26","仕事量の改善では、個人の効率だけでなく、人員、需要変動、仕掛かり、待ち行列、割込み、再作業、期限、依存関係を測る。","実務原則","混合","システム設計","仕事量・業務プロセス","bowling-2015|puranik-2019|parker-2017","測れる件数だけへ偏らない","2026-07-12"
