"id","claim","label","relationship","scope","sources","limits","last_human_verified"
"ps-learning","心理的安全性は学習行動と正に関連する","A","association","individual|team","frazier-2017|edmondson-1999","因果関係の確定ではない|自己報告研究を含む","2026-07-11"
"ps-information-sharing","心理的安全性は情報共有と正に関連する","A","association","individual|team","frazier-2017","情報の質や正確性は別に評価する必要がある","2026-07-11"
"ps-voice","心理的安全性は発言行動と正に関連する","A","association","individual","frazier-2017|newman-2017","発言の採用や成果を保証しない","2026-07-11"
"ps-performance","心理的安全性はタスク成果と平均的に正の関連を示す","A/B","association","individual|team","frazier-2017","主観的成果指標で関連が強い傾向|仕事内容による境界条件","2026-07-11"
"leader-relations","良好なリーダー関係は心理的安全性と正に関連する","A","association","individual|team","frazier-2017|nembhard-edmondson-2006","リーダー行動の因果効果とは限らない","2026-07-11"
"training-intervention","短期の集団研修で心理的安全性が改善する場合がある","B/C","intervention","team","odonovan-interventions-2020|kobayashi-2025","レビューでは介入結果が混在|日本のRCTは単一企業・自己報告・短期追跡|どの要素が効いたか分離できない","2026-07-11"
"more-is-always-better","心理的安全性は高いほど常によい","D","boundary-condition","individual|team|organization","eldor-2023","定型業務で非線形関係が報告|他文脈での再検証が必要","2026-07-11"
"japanese-measurement","日本の労働者を対象に心理的安全性を測定できる日本語尺度がある","B","measurement","individual","ochiai-otsuka-2022|matsuo-2024|sasaki-2022","全国共通の基準値を意味しない|業界横断の一般化に注意|尺度によって概念範囲が異なる","2026-07-11"
"one-on-one-rct","管理職の1on1内容を変える介入が心理的安全性へ影響し得る","C","causal-emerging","team","castro-2025","ディスカッションペーパー|単一企業文脈","2026-07-11"
"diagnosis","心理的安全性尺度で個人の精神疾患を診断できる","不支持","not-applicable","individual","edmondson-1999","組織行動上の構成概念であり臨床診断尺度ではない","2026-07-11"
"relational-enablers","リーダー行動、チーム力学、信頼・対話などは心理的安全性の関係的な促進要因として繰り返し報告される","A/B","association-synthesis","individual|team","gonzalez-2026|odonovan-enablers-2020","一次研究の多くは観察研究|医療領域の比重が大きい|促進要因という表現は因果の保証ではない","2026-07-11"
"identity-gap","人種・民族・文化などによる心理的安全性の違いは十分に研究されている","不支持","evidence-gap","individual|team","gonzalez-2026","多くのレビューが文化的限界を認める一方、人種・民族を明示的に扱うレビューは少数","2026-07-11"
"construct-voice","心理的安全性と発言行動は同じ概念ではない","A","construct-boundary","individual|team","edmondson-lei-2014|detert-burris-2007","心理的安全性が高くても動機・機会・効力感がなければ発言しない場合がある","2026-07-11"
"construct-psc","心理的安全性と心理社会的安全風土は同じ概念ではない","A/B","construct-boundary","team|organization","edmondson-lei-2014|dollard-bakker-2010|dong-2024","名称が近く混同されやすい|後者は心理的健康を守る経営方針・制度を主に扱う","2026-07-11"
"construct-trust","心理的安全性と信頼は重なるが同一ではない","B","construct-boundary","individual|team","edmondson-lei-2014|newman-2017","尺度と研究レベルにより弁別の程度が異なる|信頼は二者関係を扱う場合が多い","2026-07-11"
"not-inherently-ethical","心理的安全性が高ければ、チーム行動は自動的に倫理的になる","不支持","boundary-condition","team","pearsall-ellis-2011|eldor-2023","安全性は発言や相互作用の条件であり倫理基準そのものではない|研究文脈の再検証が必要","2026-07-11"
"organizational-responsibility","発言できない問題は、従業員の勇気だけで解決すべきである","不支持","practice-guardrail","team|organization","nembhard-edmondson-2006|gonzalez-2026","権限・地位・報復リスク・制度運用を同時に扱う必要がある","2026-07-11"
"score-ranking","心理的安全性の点数を個人査定や管理職ランキングへ直結してよい","不支持","ethical-guardrail","individual|team|organization","newman-2017|liu-measures-2024","回答抑制と報復懸念を生み、測定対象そのものを損なう|全国共通の診断的閾値はない","2026-07-11"
