"id","claim","label","directness","relationship","scope","sources","limits","last_human_verified"
"DI-C01","多様性、代表性、公平、包摂、所属感、差別禁止、アクセシビリティ、合理的配慮は重なりつつ異なる概念であり、人数比だけで代替しない。","実務原則","混合","概念境界","定義","shore-2011|jansen-2014|ilo-c111","用語・法的定義は制度により異なる","2026-07-12"
"DI-C02","人口統計的多様性とチーム業績の平均的関係は一様でなく、属性、仕事関連性、課題、相互依存、在籍期間、文脈で異なる。","A","多様性直接研究","メタ分析","多様性効果","vandijk-2012|joshi-2009|horwitz-2007|webber-2001|bell-2011","相関研究中心|カテゴリ・成果測定差|権利根拠とは別","2026-07-12"
"DI-C03","文化的多様性は創造性・情報等の利点と、葛藤・調整負担等の過程を同時に生み得るため、単純な事業効果を約束しない。","A","多様性直接研究","メタ分析","文化多様性","stahl-2010|guillaume-2017","文化指標・国・チーム差|平均効果を個別組織へ直輸入しない","2026-07-12"
"DI-C04","多様性の「ビジネスケース」が弱い・混合であっても、差別を防ぎ、権利・機会・待遇の平等を確保する責任は変わらない。","実務原則","公式指針・制度","権利と効果の分離","権利","ilo-c111|un-guiding-2011","個別法的義務は国内法を確認","2026-07-12"
"DI-C05","代表性は入口・階層・職種・雇用形態・意思決定権ごとに測り、全社平均だけで偏在を隠さない。","実務原則","混合","分布評価","代表性","kalev-2006|mccall-2005","少人数の再特定|カテゴリ設定・母集団比較","2026-07-12"
"DI-C06","包摂は所属感と独自性・真正性の両立として捉え、所属のために同化・沈黙・属性開示を要求しない。","B","多様性直接研究","概念・測定","包摂","shore-2011|jansen-2014","自己報告|文化差|真正性を固定規範にしない","2026-07-12"
"DI-C07","包摂風土は、多様な人が公正に扱われ、意思決定へ参加し、違いが学習に使われる共有経験として測る。","B","多様性直接研究","多水準観察・測定","包摂風土","nishii-2013|morbarak-1998","観察・自己報告|集団内差を平均で隠さない","2026-07-12"
"DI-C08","「自分らしく」と求める前に、開示しても不利益がない制度、開示しない自由、必要な配慮を得る代替経路を整える。","実務原則","混合","開示と安全","開示","clair-2005|ilo-data|un-crpd","不可視属性・文脈差|国内法を確認","2026-07-12"
"DI-C09","所属感をエンゲージメントや忠誠心と混同せず、関係、尊重、参加、排斥、同化圧力を分けて測る。","B","多様性隣接研究","統合・測定","所属感","baumeister-1995|ferris-2008|shore-2011","職場直接性・自己報告|個人差・文化差","2026-07-12"
"DI-C10","職場排斥は明示的拒絶だけでなく、無視、情報・会話・機会からの除外として現れ得るため、意図だけでなく反復・影響・分布を調べる。","A","多様性直接研究","測定・統合","排斥","ferris-2008|robinson-2013","意図推定の困難|自己報告|通常の業務境界と区別","2026-07-12"
"DI-C11","包摂的リーダーシップを温和な態度だけにせず、発言招請、アクセス可能性、異論への反応、情報・機会配分、貢献評価で確認する。","B","多様性直接研究","統合・観察","包摂的リーダーシップ","randel-2018|nembhard-2006|carmeli-2010","概念・観察研究中心|制度・権力を別途評価","2026-07-12"
"DI-C12","地位差のある場では、全員へ同じ発言機会を宣言するだけでなく、事前収集、匿名経路、順番、通訳・支援、決定への反映を設計する。","実務原則","混合","参加設計","発言","nembhard-2006|edmondson-1999","匿名性・少人数保護|発言強制を避ける","2026-07-12"
"DI-C13","心理的安全性を包摂・差別禁止・雇用上の安全・守秘の代替にせず、異議を述べても不利益を受けない正式手続を別に持つ。","実務原則","混合","概念境界","安全","edmondson-1999|ilo-c111|un-guiding-2011","法的保護・救済は国内法を確認","2026-07-12"
"DI-C14","差別を露骨な侮辱だけに限定せず、採用、配置、評価、報酬、昇進、訓練、柔軟勤務、懲戒、解雇等の結果・手続も監査する。","A","混合","メタ分析・公式原則","差別","jones-2016|ilo-c111|un-guiding-2011","保護事由・立証は国内法を確認|相関証拠を含む","2026-07-12"
"DI-C15","微妙・曖昧な差別も健康・態度・業績等と関連し得るため、「悪意が証明できない」だけで影響を無視しない。","A","多様性直接研究","メタ分析","微妙な差別","jones-2016|triana-2015","自己報告・相関中心|個別事案の法的認定ではない","2026-07-12"
"DI-C16","無礼や低強度の排除が特定集団へ偏っていないかを調べ、一般的な礼儀研修だけで構造的偏りを隠さない。","B","多様性直接研究","概念統合","選択的無礼","cortina-2008|ferris-2008","意図・法的差別の推定に注意|直接介入証拠限定","2026-07-12"
"DI-C17","人種・民族差別の監査では、本人の認知だけでなく、応募・選考・処遇の比較、手続、記録、結果差を組み合わせる。","A","多様性直接研究","メタ分析・フィールド実験","人種・民族","triana-2015|bertrand-2004|quillian-2017","国・時代・集団差|カテゴリの社会的構成|国内法を確認","2026-07-12"
"DI-C18","氏名・住所・学校等の代理情報を通じた差別を想定し、属性欄を消すだけでなく、募集経路、基準、評価、呼出率を監査する。","A","多様性直接研究","フィールド実験","採用","bertrand-2004|quillian-2017","匿名化だけでは構造差を解消しない|国・職種差","2026-07-12"
"DI-C19","ジェンダーバイアスは仕事の性別類型、評価者、情報、役割適合等で変わるため、平均差だけでなく条件別の選考・評価を調べる。","A","多様性直接研究","メタ分析","ジェンダー","koch-2015","実験中心|性別二分法|時代・職種差","2026-07-12"
"DI-C20","妊娠・出産・親であること・ケア責任を能力やコミットメント不足の代理にせず、機会・評価・賃金・柔軟勤務利用後の結果を監査する。","A","混合","実験・観察・公式原則","親・ケア","correll-2007|cech-2014|ilo-c156","米国研究中心|家族・ジェンダー定義差|国内法を確認","2026-07-12"
"DI-C21","柔軟勤務・休暇・配慮制度の存在だけでなく、利用時のキャリア罰、業務再配分、同僚負担、評価差を追う。","B","混合","観察・公式原則","柔軟勤務","cech-2014|ilo-c156|who-2022","職種・制度差|因果方向|国内法を確認","2026-07-12"
"DI-C22","年齢から意欲、学習力、技術適応、健康、生産性を推定せず、職務関連の個別証拠と機会・支援を用いる。","A","混合","メタ分析・公式原則","年齢","ng-2012-age|eu-equality-2000","平均差を個人へ適用しない|国内法を確認","2026-07-12"
"DI-C23","障害を個人の欠陥として扱わず、仕事・環境・技術・態度が作る障壁、アクセシビリティ、合理的配慮、本人の選択を確認する。","B","混合","概念・公式原則","障害","stone-1996|un-crpd","障害・仕事の多様性|合理的配慮は個別・国内制度で判断","2026-07-12"
"DI-C24","障害のある人の雇用を事業便益が証明できる場合だけに条件づけず、権利を基礎にしつつ、組織・個人双方の結果を評価する。","B","混合","体系的レビューと権利原則","障害雇用","lindsay-2018|un-crpd","研究質・出版バイアス|便益の一般化を避ける","2026-07-12"
"DI-C25","合理的配慮の相談では診断名の過剰開示を求めず、必要な機能・障壁・変更、閲覧者、保存、見直しを限定する。","実務原則","公式指針・制度","配慮とデータ","合理的配慮","un-crpd|ilo-data|who-2022","国内法・医療情報取扱いを確認","2026-07-12"
"DI-C26","宗教・信条、性的指向等について、開示を前提にせず、服装、時間、休暇、設備、福利厚生、家族定義等の障壁と配慮を確認する。","実務原則","公式指針・制度","平等待遇と配慮","宗教・性的指向","eu-equality-2000|ilo-c111","保護事由・配慮義務・例外は国内法を確認","2026-07-12"
"DI-C27","不可視のアイデンティティの開示・秘匿・選択的開示は本人が決め、所属感やデータ収集のために開示を強制しない。","B","多様性直接研究","概念統合","不可視属性","clair-2005|jansen-2014|ilo-data","概念研究中心|集団・関係・国差","2026-07-12"
"DI-C28","非母語アクセントを理解力・知識・信頼性・リーダー性の代理にせず、内容、職務要件、通訳・字幕・文書化等を分けて評価する。","B","多様性隣接研究","統合・実験","言語・アクセント","gluszek-2010|levari-2010","職場直接性制約|言語・文化差|安全上の明瞭性要件を別途評価","2026-07-12"
"DI-C29","交差性は属性を足し算したリスク得点にせず、複数の社会的位置と制度・権力が同時に作る経験・結果を調べる。","B","多様性直接研究","方法論・概念","交差性","mccall-2005|holvino-2010","カテゴリ固定化・小標本・再特定|介入効果証明ではない","2026-07-12"
"DI-C30","集団別データを単一属性だけで集計すると交差的格差を隠す場合がある一方、細分化しすぎると再特定するため、目的と最小セル基準を定める。","実務原則","混合","測定・データ保護","交差データ","mccall-2005|ilo-data","統計的安定性|法的カテゴリ・同意を確認","2026-07-12"
"DI-C31","性的ハラスメント・暴力は個人間トラブルだけでなく、組織風土、権力、雇用関係、第三者、オンライン・出張等を含む仕事の世界として予防する。","A","混合","メタ分析・公式原則","暴力・ハラスメント","willness-2007|ilo-c190|ilo-r206","定義・適用範囲は国内制度差|研究年代","2026-07-12"
