"id","claim","label","directness","relationship","scope","sources","limits","last_human_verified"
"TW-C01","チームは、共通目的だけでなく、成果を生むために仕事・情報・資源が相互依存する複数人の作業単位である。","A","チーム直接研究","定義・統合","定義","ilgen-2005|mathieu-2008","単なる所属集団・会議体と区別","2026-07-12"
"TW-C02","チーム有効性は短期業績だけでなく、品質・安全、構成員の経験、将来の協働能力を分けて評価する。","実務原則","混合","統合からの設計原則","成果","kozlowski-2006|mathieu-2008|who-2022","指標間のトレードオフを開示","2026-07-12"
"TW-C03","チームは入力―過程―出力の一方向モデルではなく、結果が次の局面へ戻る動的・循環的システムとして捉える。","A","チーム直接研究","理論・統合","動態","ilgen-2005|marks-2001","局面・時間幅を事前に定義","2026-07-12"
"TW-C04","目標設定、遂行監視、調整、対人関係等のチーム過程は区別でき、複数の過程が有効性と関連する。","A","チーム直接研究","メタ分析上の関連","チーム過程","marks-2001|lepine-2008","自己報告・共通方法|過程を会議回数で代用しない","2026-07-12"
"TW-C05","「チームワークのビッグ・ファイブ」は有用な整理だが、全チームへ同じチェックリストを当てる処方ではない。","B","チーム直接研究","統合枠組み","チームワーク","salas-2005|kozlowski-2006","課題・リスク・成熟度・技術に合わせる","2026-07-12"
"TW-C06","相互依存が低い仕事を無理にチーム化すると調整コストを増やし得るため、個人作業・作業グループ・チームを使い分ける。","実務原則","混合","理論からの設計原則","相互依存","ilgen-2005|mathieu-2008|gully-2002","相互依存を課題・成果・報酬に分ける","2026-07-12"
"TW-C07","暗黙的調整は共有知識と安定した経験に支えられるが、例外・新規メンバー・高リスク業務では明示的な確認を省かない。","B","チーム直接研究","概念統合","調整","rico-2008|dechurch-2010","沈黙を合意と推定しない","2026-07-12"
"TW-C08","共有メンタルモデルはチーム過程・成果と関連するが、全員が同じ意見になることではない。","A","チーム直接研究","実証・メタ分析上の関連","共有認知","mathieu-2000|dechurch-2010","課題モデルとチームモデルを区別|多様な視点を消さない","2026-07-12"
"TW-C09","トランザクティブ・メモリーは「誰が何を知るか」の分化、専門性への信頼、調整からなり、全員が全知識を持つことではない。","A","チーム直接研究","測定・実験","知識分業","lewis-2003|moreland-2000","一人への依存・退職リスクを別途管理","2026-07-12"
"TW-C10","情報共有はチーム成果と関連するが、発言量や投稿数ではなく、独自情報が提示・理解・統合・利用されたかを確かめる。","A","チーム直接研究","メタ分析上の関連","情報共有","mesmer-2009","量と質・利用を区別|逆因果・課題差","2026-07-12"
"TW-C11","集合的効力感は成果と関連するが、相互依存と分析水準に左右され、根拠のない自信や反対意見の排除とは異なる。","A","チーム直接研究","メタ分析上の関連","効力感","gully-2002","因果方向|過信・集団思考と区別","2026-07-12"
"TW-C12","結束と成果には関連があるが、課題へのコミットメントと対人好意を区別し、高結束を無条件に最大化しない。","A","チーム直接研究","メタ分析上の関連","結束","beal-2003","相関研究|同調圧力・排除を点検","2026-07-12"
"TW-C13","タスク対立は平均として常に有益ではなく、関係対立へ転化し得るため、目的、信頼、時期、扱い方を確認する。","A","チーム直接研究","メタ分析・実証","対立","dedreu-2003|dewit-2012|simons-2000","「健全な対立」を強制しない|高リスク局面では収束が必要","2026-07-12"
"TW-C14","関係対立とプロセス対立は満足・成果等に負の関連を示すことが多いが、ラベルだけで原因や加害を曖昧にしない。","A","チーム直接研究","メタ分析上の関連","対立","dedreu-2003|dewit-2012","測定の相関|ハラスメントと区別","2026-07-12"
"TW-C15","対立の結果は種類だけでなく、問題解決、感情調整、公平な配分、決定の受容可能性等の管理方略に関係する。","B","チーム直接研究","縦断的関連","対立管理","behfar-2008|tjosvold-2008","単一研究・統合レビュー|権力差を別途確認","2026-07-12"
"TW-C16","協同目標と開かれた検討は建設的論争を支え得るが、被害を受けた人へ和解・対話を強制しない。","実務原則","混合","統合・権利原則","対立・安全","tjosvold-2008|ilo-c190","暴力・ハラスメントは安全確保・正式対応を優先","2026-07-12"
"TW-C17","少数意見は意思決定への実質参加がある条件で革新に関係し得るが、反対役を特定の人へ固定しない。","B","チーム直接研究","観察的関連","異論","dedreu-west-2001","観察研究|報復・孤立を防ぐ","2026-07-12"
"TW-C18","多様性は自動的に成果を高めも下げもせず、情報精緻化と社会的カテゴリー化の両経路、課題・産業・地位構造に依存する。","A","チーム直接研究","理論・メタ分析","多様性","vanknippenberg-2004|joshi-2009|bell-2011","人口統計カテゴリで個人を推定しない","2026-07-12"
"TW-C19","文化的多様性は創造性等の可能性と対立・社会統合上の負担の双方に関係し得る。","A","チーム直接研究","メタ分析上の関連","文化的多様性","stahl-2010","国籍＝文化としない|平均効果を個別チームへ直結しない","2026-07-12"
"TW-C20","多様性を価値ある資源と捉える信念は情報精緻化を支え得るが、包摂的な権限・発言機会・配分なしにスローガン化しない。","B","チーム直接研究","実験・観察","包摂","homan-2007|vanknippenberg-2004","構造的不平等を態度研修だけで扱わない","2026-07-12"
"TW-C21","心理的安全性は学習行動・情報共有等と関連するが、目標、専門性、品質基準、説明責任、被害是正の代替ではない。","A","チーム直接研究","実証・メタ分析","心理的安全性","edmondson-1999|frazier-2017","個人知覚とチーム水準を区別","2026-07-12"
