"id","claim","label","directness","relationship","scope","sources","limits","last_human_verified"
"RS-C01","雇用不安は、客観的な雇用状態そのものではなく、望まない職・雇用条件の喪失可能性と対抗力に関する知覚を含む。","A","雇用不安直接研究","概念定義","組織・労働者","greenhalgh-1984|shoss-2017","契約形態や解雇予告とは別に測る","2026-07-12"
"RS-C02","職そのものを失う量的雇用不安と、賃金・役割・昇進等の重要条件を失う質的雇用不安は区別できる。","A","雇用不安直接研究","概念分離","組織・労働者","hellgren-1999|lee-2018","両者は併存し得る","2026-07-12"
"RS-C03","失職可能性の認知と、それに対する恐れ・心配は関連するが同一ではない。","A","雇用不安直接研究","認知・感情","組織・労働者","jiang-lavaysse-2018","自己報告・尺度差","2026-07-12"
"RS-C04","雇用不安は仕事満足、組織コミットメント、精神健康等の不良と平均的に関連する。","A","雇用不安直接研究","メタ分析関連","組織・労働者","sverke-2002|cheng-chan-2008|de-witte-1999|kim-2016","観察研究中心|個人診断に使わない","2026-07-12"
"RS-C05","雇用不安と身体健康・冠動脈疾患との関連が報告されるが、交絡を含む観察研究であり個別因果を断定できない。","B","雇用不安直接研究","健康関連","組織・労働者","ferrie-2002|virtanen-2013","自己報告曝露|残余交絡|医療診断ではない","2026-07-12"
"RS-C06","慢性的な雇用不安と、一時的な組織変更の不確実性は時間軸を分けて測る必要がある。","B","混合","時間過程","組織・労働者","ferrie-2002|rafferty-griffin-2006","測定間隔依存","2026-07-12"
"RS-C07","客観的な契約不安定性、組織の人員削減、失業率等は雇用不安の背景になり得るが、個人の知覚と一対一には対応しない。","A","混合","多層先行要因","組織・労働者","shoss-2017|lee-2018","国・制度・情報差","2026-07-12"
"RS-C08","雇用不安への反応を性格やレジリエンスだけへ還元せず、意思決定、情報、仕事量、代替機会、所得保障を調べる必要がある。","実務原則","混合","システム診断","組織・労働者","shoss-2017|sverke-2002","個人支援と構造対策を併用","2026-07-12"
"RS-C09","不確実な情報を隠すことと、未確定事項を事実のように断定することの両方を避ける。","実務原則","混合","リスクコミュニケーション","組織・労働者","oreg-2011|lewis-1999","機密・市場規制等を別途確認","2026-07-12"
"RS-C10","組織変更の頻度、計画性、影響、不確実性を一つの「変化量」にまとめない。","A","再編・離職直接研究","変革測定","組織・労働者","rafferty-griffin-2006","特定研究の尺度を無断転載しない","2026-07-12"
"RS-C11","変革への疑問や反対を、適応力不足や抵抗性という個人欠陥だけで説明してはならない。","不支持","混合","権力・異議","組織・労働者","oreg-2011","代替案、利害、過去経験、実質的不利益を確認","2026-07-12"
"RS-C12","参加は説明会への出席ではなく、決定前の情報、代表性、代替案への影響、回答、修正可能性で評価する。","実務原則","混合","参加設計","組織・労働者","lewis-1999|oreg-2011","すべての提案採用とは異なる","2026-07-12"
"RS-C13","ダウンサイジングは自動的に財務成果を改善する普遍策ではない。","A","再編・離職直接研究","企業成果","組織・労働者","cascio-1997|love-nohria-2005|datta-2010","企業レベル観察|削減理由・景気・余剰の条件差","2026-07-12"
"RS-C14","人員削減の影響は、人数だけでなく、選定、通知、説明、支援、仕事再設計、削減反復、事後の要員で変わる。","A","混合","実装過程","組織・労働者","datta-2010|brockner-1987|oreg-2011","効果量は施策ごとに異なる","2026-07-12"
