"id","authors","year","title","journal","doi","type","status","population","sample","method","finding","limitations","source_url","last_human_verified"
"adams-1965","Adams, J. S.","1965","Inequity in Social Exchange","Advances in Experimental Social Psychology, 2, 267–299","10.1016/S0065-2601(08)60108-2","foundational theory chapter","scholarly chapter","社会的交換と報酬配分","理論と先行実験研究の統合","投入と結果の比率比較から不衡平反応を説明","分配的公正研究の基礎となる衡平理論を提示","分配中心|現代の4次元モデルより狭い|規範的に何が正しいかを決定しない","https://doi.org/10.1016/S0065-2601(08)60108-2","2026-07-12"
"leventhal-1980","Leventhal, G. S.","1980","What Should Be Done with Equity Theory?","Social Exchange, 27–55","10.1007/978-1-4613-3087-5_2","foundational theory chapter","scholarly chapter","分配・手続きの公正判断","理論文献","配分規則と手続き規則を整理","一貫性、偏り抑制、正確性、修正可能性、代表性、倫理性という手続き基準を提示","実証メタ分析ではない|基準間の衝突を自動解決しない","https://doi.org/10.1007/978-1-4613-3087-5_2","2026-07-12"
"greenberg-1987","Greenberg, J.","1987","A Taxonomy of Organizational Justice Theories","Academy of Management Review, 12(1), 9–22","10.2307/257990","conceptual taxonomy","peer-reviewed","組織的公正理論","理論文献","反応的/先行的、内容/過程の軸で分類","分散していた公正理論を体系化","概念整理|後の対人・情報的公正の発展前","https://doi.org/10.2307/257990","2026-07-12"
"greenberg-1990-review","Greenberg, J.","1990","Organizational Justice: Yesterday, Today, and Tomorrow","Journal of Management, 16(2), 399–432","10.1177/014920639001600208","narrative review","peer-reviewed","組織的公正研究","主要研究の歴史的統合","分配から手続き・相互作用への展開を整理","organizational justiceという研究領域を統合的に位置づけた","系統的レビューではない|1990年までの研究","https://doi.org/10.1177/014920639001600208","2026-07-12"
"greenberg-1990-theft","Greenberg, J.","1990","Employee Theft as a Reaction to Underpayment Inequity: The Hidden Cost of Pay Cuts","Journal of Applied Psychology, 75(5), 561–568","10.1037/0021-9010.75.5.561","quasi-field experiment","peer-reviewed","製造工場の従業員","一時的賃金削減を経験した工場群。詳細は原文参照","賃金削減と説明条件による窃盗率を比較","不十分な支払いと説明条件が窃盗反応に関係した","特定の現場・時代|窃盗測定と一般化に注意|説明が不公正な結果を正当化するわけではない","https://doi.org/10.1037/0021-9010.75.5.561","2026-07-12"
"moorman-1991","Moorman, R. H.","1991","Relationship Between Organizational Justice and Organizational Citizenship Behaviors","Journal of Applied Psychology, 76(6), 845–855","10.1037/0021-9010.76.6.845","field study","peer-reviewed","病院職員","従業員と上司評価。詳細は原文参照","公正認知と組織市民行動の関係を分析","手続き・相互作用的公正と市民行動の関連を報告","観察研究|単一組織|尺度構成は後の4次元と異なる","https://doi.org/10.1037/0021-9010.76.6.845","2026-07-12"
"greenberg-1993","Greenberg, J.","1993","Stealing in the Name of Justice: Informational and Interpersonal Moderators of Theft Reactions to Underpayment Inequity","Organizational Behavior and Human Decision Processes, 54(1), 81–103","10.1006/obhd.1993.1004","field experiment","peer-reviewed","賃金削減を経験した従業員","複数工場条件。詳細は原文参照","情報の十分さと対人的配慮を操作・比較","説明と対人的配慮が不公正反応を緩和し得ることを示した","古典的特定状況|操作と現在の職場実装は異なる|悪い決定の免罪符ではない","https://doi.org/10.1006/obhd.1993.1004","2026-07-12"
"skarlicki-latham-1996","Skarlicki, D. P., & Latham, G. P.","1996","Increasing Citizenship Behavior Within a Labor Union: A Test of Organizational Justice Theory","Journal of Applied Psychology, 81(2), 161–169","10.1037/0021-9010.81.2.161","field experiment","peer-reviewed","労働組合の責任者と構成員","組合現場。詳細は原文参照","公正原則に関するリーダー研修を比較","研修後の組織市民行動改善を報告","小規模・特定組織|観察者評価|長期持続性に限界","https://doi.org/10.1037/0021-9010.81.2.161","2026-07-12"
"skarlicki-latham-1997","Skarlicki, D. P., & Latham, G. P.","1997","Leadership Training in Organizational Justice to Increase Citizenship Behavior Within a Labor Union: A Replication","Personnel Psychology, 50(3), 617–633","10.1111/j.1744-6570.1997.tb00707.x","field experiment replication","peer-reviewed","労働組合の責任者と構成員","組合リーダー25人、組合員177人","公正なリーダー行動研修の効果を検討","公正認知と組織・同僚向け市民行動への改善を追試","労働組合に限定|介入要素の切り分けに限界|大規模組織変更ではない","https://doi.org/10.1111/j.1744-6570.1997.tb00707.x","2026-07-12"
"skarlicki-folger-1997","Skarlicki, D. P., & Folger, R.","1997","Retaliation in the Workplace: The Roles of Distributive, Procedural, and Interactional Justice","Journal of Applied Psychology, 82(3), 434–443","10.1037/0021-9010.82.3.434","field study","peer-reviewed","職場の従業員","観察研究。詳細は原文参照","三次元の組合せと報復行動を分析","複数次元の不公正が組み合わさると報復行動と強く関係する可能性","横断的関連|報復の自己・他者報告|因果確定ではない","https://doi.org/10.1037/0021-9010.82.3.434","2026-07-12"
"colquitt-2001-scale","Colquitt, J. A.","2001","On the Dimensionality of Organizational Justice: A Construct Validation of a Measure","Journal of Applied Psychology, 86(3), 386–400","10.1037/0021-9010.86.3.386","measure development and validation","peer-reviewed","大学・職場文脈の参加者","複数標本。詳細は原文参照","分配・手続き・対人・情報の4因子尺度を検証","4次元の弁別と関連概念・結果との妥当性を支持","英語圏中心|自己報告|項目利用・翻訳条件を確認","https://doi.org/10.1037/0021-9010.86.3.386","2026-07-12"
