"id","claim","label","directness","relationship","scope","sources","limits","last_human_verified"
"OL-C01","個人が学んだことと、組織の手順・判断・記憶が変わることは同じではない。","A","組織学習直接研究","概念・水準","個人・チーム・組織","crossan-1999|huber-1991","水準間の移行と制度化を別に確認","2026-07-12"
"OL-C02","組織学習は知識獲得だけでなく、配布、解釈、記憶、再利用まで含む複数過程である。","A","組織学習直接研究","統合枠組み","組織学習","huber-1991|levitt-march-1988","単一の成熟度得点へ還元しない","2026-07-12"
"OL-C03","経験をルーティンへ保存することは学習になり得るが、過去の成功を固定して不適応を生むこともある。","A","組織学習直接研究","履歴依存","ルーティン・記憶","levitt-march-1988|march-1991|feldman-pentland-2003","安定と硬直を区別|成功経験も検証対象","2026-07-12"
"OL-C04","探索と活用の両方が必要だが、万能な最適比率や組織構造は示されていない。","A","組織学習直接研究","理論・関連","探索・活用","march-1991|junni-2013","両利き性と成果の研究は相関中心|環境・測定で差","2026-07-12"
"OL-C05","外部知識を利用する能力は関連する事前知識と組織過程に依存し、研修費やR&D費だけでは測れない。","A","組織学習直接研究","理論・実証","吸収能力","cohen-levinthal-1990|lane-2006","代理指標を構成概念そのものとして実体化しない","2026-07-12"
"OL-C06","暗黙知と形式知の相互作用は有力な知識創造理論だが、SECIを普遍的・線形な因果法則として扱えない。","B","組織学習直接研究","概念理論","知識創造","nonaka-1994","比較試験ではない|文化・仕事文脈を確認","2026-07-12"
"OL-C07","知識移転は、知識の因果曖昧性、受け手の能力、関係、組織・ネットワーク文脈に左右される。","A","組織学習直接研究","関連・統合","組織内・組織間移転","szulanski-1996|van-wijk-2008","相関研究を多く含む|送信と利用を区別","2026-07-12"
"OL-C08","知識は人・道具・課題・関係・文化・構造へ埋め込まれるため、文書リポジトリを作るだけでは移転・保持を保証しない。","A","組織学習直接研究","統合知見","知識移転・保持","argote-ingram-2000|ren-argote-2011|walsh-ungson-1991","媒体ごとの効果を個別評価","2026-07-12"
"OL-C09","「誰が何を知っているか」というトランザクティブ・メモリーは専門分化・信頼・調整からなり、共有フォルダと同義ではない。","A","組織学習直接研究","測定・統合","チーム記憶","lewis-2003|ren-argote-2011","尺度の利用条件を確認|専門家への過負荷に注意","2026-07-12"
"OL-C10","チームの情報共有は成果と正に関連するが、共有量だけでなく情報の独自性・質・検討が必要である。","A","隣接・構成要素研究","メタ分析上の関連","チーム情報共有","mesmer-dechurch-2009","因果方向|情報過多|発言権の偏り","2026-07-12"
"OL-C11","知識共有の意図・行動は態度、報酬、文化等と関連するが、研究には協力的参加者による過大評価の可能性がある。","A","組織学習直接研究","メタ分析上の関連","知識共有","witherspoon-2013|wang-noe-2010","共有意図と実利用を区別|研究間異質性","2026-07-12"
"OL-C12","知識隠匿は知識共有の単なる不足ではなく、要請された知識を意図的に隠す行動として区別される。","A","組織学習直接研究","構成概念・統合","知識隠匿","connelly-2012|arain-2024","守秘、拒否権、知らないことを悪意と誤認しない","2026-07-12"
"OL-C13","チーム学習行動はチーム成果と関連し、2022年メタ分析では113効果量・7,758チームが統合された。","A","組織学習直接研究","メタ分析上の関連","チーム学習","wiese-2022","因果効果ではない|尺度・課題型等で差","2026-07-12"
"OL-C14","リーダー行動はチーム学習と関連するが、人志向・課題志向の働き方は課題文脈により異なる。","A","隣接・構成要素研究","メタ分析上の関連","リーダーシップ・チーム学習","koeslag-2018","43研究・92効果量|単一の万能行動へ還元しない","2026-07-12"
"OL-C15","心理的安全性は学習行動・発言等と関連するが、低い基準、責任免除、無批判な同意を意味しない。","A","隣接・構成要素研究","関連","チーム学習環境","edmondson-1999|frazier-2017","安全性だけで学習を保証しない|因果確定ではない","2026-07-12"
"OL-C16","エラー管理はエラー予防の代替ではなく、発生後の検知・損害制御・共有・学習で予防を補完する。","A","組織学習直接研究","統合知見","エラー学習","frese-keith-2015|van-dyck-2005","安全規則違反や過失容認と区別","2026-07-12"
"OL-C17","エラー管理訓練は肯定的平均効果を示すが、訓練課題の知見を実事故や全職種へ直接外挿できない。","B","隣接・構成要素研究","介入効果","訓練・学習転移","keith-frese-2008","高危険業務では予防と監督を維持","2026-07-12"
"OL-C18","成功・失敗の双方を期待との差から検討するアフターイベントレビューは、失敗だけを責める振り返りより学習に適する可能性がある。","B","隣接・構成要素研究","実験知見","レビュー・訓練","ellis-davidi-2005","軍事訓練の2研究|一般業務への外挿","2026-07-12"
"OL-C19","AAR・デブリーフは訓練評価を改善し得るが、効果は対象との整合、客観資料、構造、促進方法等の組合せで異なる。","A","隣接・構成要素研究","介入効果","AAR・デブリーフ","keiser-arthur-2021","61研究・107効果量|日常業務・長期成果への一般化に注意","2026-07-12"
"OL-C20","ダブルループ学習は行動の修正だけでなく、判断基準・前提・権限・目標そのものを問い直す。","B","組織学習直接研究","概念枠組み","意思決定・改善","argyris-1976","二分法を個人の性格評価へ使わない","2026-07-12"
"OL-C21","インシデント報告件数は安全や学習の単純な成績ではなく、報告・分析・是正・フィードバックをつないで初めて学習システムになる。","実務原則","公式指針・ガバナンス","報告と改善","インシデント学習","who-2020","医療指針を原則レベルで参照|件数増減を単独評価しない","2026-07-12"
"OL-C22","組織知識は「可能な限り開き、必要なものは理由を示して閉じる」設計とし、個人情報・機密・知識主権を優先する。","実務原則","公式指針・ガバナンス","開放性と権利","知識基盤・公開","unesco-2021|ilo-1997","適用法・契約・共同体ルールを確認|公開を強制しない","2026-07-12"
