"id","claim","label","directness","relationship","scope","sources","limits","last_human_verified"
"C001","仕事→家庭葛藤と家庭→仕事葛藤は関連するが同一ではなく、方向を分けて測る。","A","直接研究","定義・測定","働く人|組織","netemeyer-1996|carlson-2000|mesmer-2005","一つの総合点で方向を消さない","2026-07-12"
"C002","時間・緊張・行動に基づく葛藤を区別すると、介入先を特定しやすい。","B","混合","理論と測定","働く人|組織","greenhaus-1985|carlson-2000","分類は完全な因果モデルではない","2026-07-12"
"C003","仕事家庭葛藤は健康、満足、仕事態度等の不利な結果と平均的に関連する。","A","直接研究","関連","働く人|組織","amstad-2011|allen-2000|ford-2007","平均的関連で個人診断には使えない|逆因果・共通方法を含む","2026-07-12"
"C004","長い時間、過大要求、役割ストレスは葛藤のリスクで、統制・支援は保護資源となり得る。","A","直接研究","関連","働く人|組織","byron-2005|michel-2011|kossek-2011","職種・家庭構成で差","2026-07-12"
"C005","仕事と家庭の相互促進は葛藤の単なる反対ではなく、別に測る。","A","直接研究","定義・測定","働く人|組織","carlson-2006|greenhaus-2006|mcnall-2010","高い相互促進が葛藤の害を自動的に打ち消すわけではない","2026-07-12"
"C006","技能、肯定感、社会的・物質的資源が領域を越えて利益をもたらすことがある。","B","直接研究","理論・関連","働く人|組織","greenhaus-2006|tenbrummelhuis-2012|mcnall-2010","資源移転は条件依存","2026-07-12"
"C007","ワークライフバランスには満足、関与、適合、効果等の複数の意味があり、定義を明示する。","B","直接研究","定義・測定","働く人|組織","wayne-2021|edwards-2000","単一の理想配分を前提にしない","2026-07-12"
"C008","バランスは仕事と家庭を50対50に配分することではなく、価値・役割・状況に対する適合として扱う。","実務原則","混合","実務推論","働く人|組織","wayne-2021|clark-2000","本人の価値観を代弁しない","2026-07-12"
"C009","分断と統合のどちらが常に優れるわけではなく、選好と実際の統制・環境の適合が重要。","A","直接研究","関連","働く人|組織","kossek-2012|allen-2014|bulger-2007","類型を固定的人格とみなさない","2026-07-12"
"C010","境界をいつ越えるかの統制を、在宅日数や通知設定と別に測る。","B","直接研究","測定・関連","働く人|組織","kossek-2012|allen-2014","自己報告中心","2026-07-12"
"C011","心理的離脱は疲労・健康・ウェルビーイングと平均的に関連する。","A","直接研究","関連","働く人|組織","wendsche-2017|sonnentag-2017|headrick-2022","因果方向が双方向の可能性","2026-07-12"
