"id","claim","label","directness","relationship","scope","sources","limits","last_human_verified"
"C001","信頼は単なる好感や確実性ではなく、相手への肯定的期待のもとで脆弱性を受け入れることを含む。","A","直接研究","定義・理論","働く人|チーム|組織","mayer-1995|rousseau-1998-trust","定義は学派で差","2026-07-12"
"C002","能力・善意・誠実性という信頼可能性と、実際に信頼することを分ける。","A","直接研究","理論・統合","働く人|チーム|組織","mayer-1995|colquitt-2007|schoorman-2007","評価者・対象・課題で変化","2026-07-12"
"C003","一般的な信頼傾向は相手固有の信頼と異なり、とくに初期関係で影響し得る。","A","直接研究","統合・理論","働く人|チーム|組織","colquitt-2007|mcknight-1998","固定人格診断にしない","2026-07-12"
"C004","認知に基づく信頼と感情に基づく信頼は関連するが同一ではない。","A","直接研究","測定・関連","働く人|チーム|組織","mcallister-1995","文化・関係段階で差","2026-07-12"
"C005","上司、同僚、チーム、経営、組織、制度への信頼を一つの点数にまとめない。","A","直接研究","多層理論","働く人|チーム|組織","fulmer-2012|burke-2007","信頼対象を明示","2026-07-12"
"C006","チーム信頼はチーム成果と平均的に正に関連するが、課題・相互依存・測定で差がある。","A","直接研究","メタ分析","働く人|チーム|組織","dejong-2016|dirks-2000","相関研究を含む|高信頼だけで成果を保証しない","2026-07-12"
"C007","リーダーへの信頼は職務態度・行動・成果と関連する。","A","直接研究","メタ分析","働く人|チーム|組織","dirks-2002|gottfredson-2017","因果方向・リーダーシップ概念との重複","2026-07-12"
"C008","経営への信頼は注意を自己防衛から仕事へ向けられることを通じ成果と関係し得る。","B","直接研究","フィールド関連","働く人|チーム|組織","mayer-2005","単一研究・媒介推定","2026-07-12"
"C009","組織間信頼と組織内の対人信頼を区別する。","B","直接研究","関連・理論","働く人|チーム|組織","zaheer-1998|mcevily-2003","組織を人格化しすぎない","2026-07-12"
"C010","信頼の低さと不信の高さは必ずしも同じではなく、同じ関係で併存し得る。","B","直接研究","理論","働く人|チーム|組織","lewicki-1998|kramer-1999","測定・実証は概念研究より限定","2026-07-12"
"C011","信頼は最大化でなく、検証可能性・役割分離・監査と釣り合う適正な水準を目指す。","実務原則","混合","理論から実務推論","働く人|チーム|組織","mayer-1995|kramer-1999|iso-37002","万能の最適値はない","2026-07-12"
"C012","明確な統制や記録は信頼の反対ではなく、信頼可能性と説明責任を支える場合がある。","B","混合","理論・制度","働く人|チーム|組織","mcevily-2003|iso-37002|ungp","過剰監視は別の害を生む","2026-07-12"
"C013","新しい関係では評判、役割、制度、カテゴリー情報が初期信頼へ影響する。","B","直接研究","理論","働く人|チーム|組織","mcknight-1998|jones-1998","ステレオタイプ利用を正当化しない","2026-07-12"
"C014","信頼は経験、帰属、行動、制度変化により更新される動的状態として扱う。","B","直接研究","理論・レビュー","働く人|チーム|組織","jones-1998|schoorman-2007","単純な直線発達ではない","2026-07-12"
"C015","心理的契約は、雇用関係の相互義務について個人が抱く信念で、法的契約そのものではない。","A","直接研究","定義・理論","働く人|チーム|組織","rousseau-1989|jp-labor-contract","主観的信念を合意済み事実としない","2026-07-12"
"C016","希望・一般的期待と、相手が約束したと認知する義務を分ける。","A","直接研究","測定・関連","働く人|チーム|組織","montes-2009|rousseau-1989","約束認知の形成経路を確認","2026-07-12"
"C017","心理的契約の不履行認知と、それに伴う怒り・裏切られた感覚を区別する。","A","直接研究","理論・日誌","働く人|チーム|組織","morrison-1997|conway-diary-2002","訳語・尺度差","2026-07-12"
"C018","心理的契約の不履行認知は珍しい例外ではなく、組織変化・採用・管理の通常過程でも生じ得る。","B","直接研究","フィールド関連","働く人|チーム|組織","robinson-1994|alcover-2017","発生率の一般化に注意","2026-07-12"
"C019","心理的契約不履行は満足、信頼、コミットメント、離職意向、役割外行動等と不利に関連する。","A","直接研究","メタ分析","働く人|チーム|組織","zhao-2007|bal-2008|restubog-2008","相関研究・共通方法を含む","2026-07-12"
"C020","心理的契約不履行との関連は年齢・雇用形態・交換関係・時間で異なる。","B","直接研究","メタ分析・縦断","働く人|チーム|組織","bal-2008|conway-2002|dulac-2008","属性を決定論的に使わない","2026-07-12"
"C021","約束を上回った経験も感情反応を生むが、過剰提供で不履行を相殺できるとは限らない。","B","直接研究","日誌研究","働く人|チーム|組織","conway-diary-2002","単一研究・短期","2026-07-12"
"C022","採用、オンボーディング、評価、変革時の表現を記録し、実行主体と条件を明示する。","実務原則","混合","実務推論","働く人|チーム|組織","rousseau-1989|montes-2009|whitener-1997","全発言を法的約束とみなさない","2026-07-12"
"C023","コミットメントは組織、チーム、職業、目標など対象を明示して測る。","A","直接研究","概念・測定","働く人|チーム|組織","klein-2012|klein-2014","対象を混合しない","2026-07-12"
