"id","claim","label","directness","relationship","scope","sources","limits","last_human_verified"
"DM-C01","意思決定は、目的、選択肢、情報、不確実性、価値、権限、実行、検証を結ぶ過程であり、選んだ瞬間だけではない。","実務原則","混合","統合からの定義","定義","simon-1955|kerr-2004","決定主体・水準を明示","2026-07-12"
"DM-C02","人は情報、時間、注意、計算能力が限られるため、完全最適化ではなく満足化や簡便法を使う。","A","意思決定直接研究","限定合理性理論","限定合理性","simon-1955|gigerenzer-1996","古典理論|制約を個人能力不足としない","2026-07-12"
"DM-C03","ヒューリスティックは常に誤りではなく、環境構造に適合すれば迅速で頑健になり得る。","A","意思決定直接研究","理論・レビュー","ヒューリスティック","gigerenzer-1996|gigerenzer-2011","適用環境と失敗条件を事前定義","2026-07-12"
"DM-C04","代表性、利用可能性、係留等は判断の体系的偏りを生み得るが、バイアス名を人への診断・非難ラベルに使わない。","A","意思決定直接研究","実験・統合","バイアス","tversky-1974","実験課題中心|構造・インセンティブも確認","2026-07-12"
"DM-C05","高速な直観と低速な分析の区別は有用だが、直観＝悪、分析＝善という二分法ではない。","A","意思決定直接研究","理論レビュー","認知過程","evans-2008|kahneman-klein-2009","複数の二重過程理論|課題差","2026-07-12"
"DM-C06","直観的熟達は、規則性の高い環境と十分で迅速なフィードバックがある場合に成立しやすく、肩書や経験年数だけでは判断できない。","A","意思決定直接研究","統合レビュー","熟達","kahneman-klein-2009|lipshitz-2001","環境の予測可能性|フィードバックの質","2026-07-12"
"DM-C07","時間圧・高リスクの現場判断は実験室の選択課題だけで評価せず、状況認識、経験、チーム、手順、資源、可逆性から検討する。","B","意思決定直接研究","自然主義的研究レビュー","現場判断","lipshitz-2001","レビュー|経験者判断の無条件正当化ではない","2026-07-12"
"DM-C08","認知的熟考尺度の得点を、知能、人間価値、昇進適性の単独指標にしない。","B","意思決定直接研究","測定研究・予防原則","測定","frederick-2005|ilo-data","短い尺度|文化・教育・言語差","2026-07-12"
"DM-C09","動機づけられた推論は望ましい結論へ情報探索・解釈を方向づけ得るため、利益相反と評価・報酬を意思決定設計に含める。","A","意思決定直接研究","統合レビュー","動機","kunda-1990","本人の悪意と決めつけない|制度要因を確認","2026-07-12"
"DM-C10","確認バイアスへの対策は「反対意見を言え」だけでなく、反証条件、代替仮説、独立情報、探索停止規則を設ける。","A","混合","レビューからの設計原則","確認バイアス","nickerson-1998","反証の儀式化|無限探索を避ける","2026-07-12"
"DM-C11","過信は自己の絶対精度、他者との相対順位、確信幅の狭さで異なり、自信の強さだけを能力とみなさない。","A","意思決定直接研究","理論・実験","過信","moore-2008","実験課題|領域別に較正","2026-07-12"
"DM-C12","説明責任は熟考を促す場合も、特定相手への迎合を促す場合もあるため、誰に、いつ、何を説明するかを設計する。","A","意思決定直接研究","統合レビュー","説明責任","lerner-1999","事前・事後で効果が異なる|権力差","2026-07-12"
"DM-C13","良い結果になったことと、当時利用可能な情報に基づく良い意思決定だったことを分けて評価する。","A","意思決定直接研究","実験","結果バイアス","baron-1988","結果を無視しない|過程と結果を両方評価","2026-07-12"
"DM-C14","結果を知った後は予見可能性を過大評価しやすいため、事前予測、想定範囲、判断根拠、更新時点を記録する。","A","意思決定直接研究","メタ分析・実験","後知恵","christensen-1991|fischhoff-1975","学習と責任追及を区別|記録の監視転用を防ぐ","2026-07-12"
"DM-C15","失敗した選択への自己責任や既投入資源は追加投資を促し得るため、継続判断を元の提案者だけに委ねない。","A","意思決定直接研究","実験","エスカレーション","staw-1976|arkes-1985","継続が合理的な案件と区別|将来費用・便益で判断","2026-07-12"
"DM-C16","サンクコストは回収不能費用であり、将来の評判、契約、学習、撤退費用とは分けて評価する。","A","意思決定直接研究","実験・設計原則","サンクコスト","arkes-1985","単純な撤退推奨ではない","2026-07-12"
"DM-C17","計画では内部シナリオだけでなく、類似案件の所要時間・失敗率・分布を参照し、依存関係と余裕を含める。","A","意思決定直接研究","実験・フィールド","計画錯誤","buehler-1994","個人課題中心|参照クラスの選び方","2026-07-12"
"DM-C18","感情はリスク・便益判断へ影響するが、排除対象ではなく、価値・危険の信号と偏りの双方として扱う。","A","意思決定直接研究","統合レビュー","感情","slovic-2007","感情を不合理と決めつけない","2026-07-12"
"DM-C19","確率・リスクは割合だけでなく自然頻度、分母、期間、比較基準、最悪・最良範囲を示す。","B","意思決定直接研究","実験・設計原則","リスク伝達","hoffrage-2000","表現効果は課題依存|理解責任を受け手だけへ負わせない","2026-07-12"
"DM-C20","デバイアスは個人研修だけでなく、情報・選択肢・順序・役割・インセンティブ・記録を変える意思決定環境の設計を含む。","A","意思決定直接研究","レビュー・介入","デバイアス","milkman-2009|morewedge-2015","訓練から実務への移転|バイアス間差","2026-07-12"
"DM-C21","短い訓練で一部の判断バイアスが低減した研究はあるが、全バイアス・全職場への持続的効果とはみなさない。","B","意思決定直接研究","訓練実験","訓練","morewedge-2015","特定課題・参加者|組織成果・長期移転","2026-07-12"
"DM-C22","確率予測は点予測だけでなく確率・期限・解決条件を明記し、結果後に較正・識別力・更新を評価する。","B","意思決定直接研究","フィールド予測研究","予測","mellers-2014","特殊な予測環境|選抜効果","2026-07-12"
"DM-C23","選択アーキテクチャ介入には平均効果が報告されるが異質性が大きく、透明性、撤回可能性、分配影響、代替策を検討する。","A","混合","メタ分析・倫理原則","ナッジ","mertens-2022","効果推定の再検討が続く|文脈・出版バイアス","2026-07-12"
"DM-C24","集団討議は共有済み情報へ偏り、各人だけが持つ独自情報を十分統合しない場合がある。","A","意思決定直接研究","実験・メタ分析","集団判断","stasser-1985|mesmer-2009","実験課題を含む|情報の質・権力差","2026-07-12"
"DM-C25","情報共有は量ではなく、独自・反証情報が提示、理解、検討、意思決定へ反映されたかで評価する。","A","意思決定直接研究","メタ分析上の関連","情報共有","mesmer-2009","相関・実験混在|発言量を貢献とみなさない","2026-07-12"
"DM-C26","「集団思考」は失敗した会議への万能な事後ラベルではなく、孤立、指示的リーダー、同調圧力、代替案探索等を個別に測る。","B","意思決定直接研究","研究レビュー","集団思考","esser-1998","モデル支持は部分的|後知恵バイアス","2026-07-12"
"DM-C27","対面ブレインストーミングは発話待ち等でアイデア数を失う場合があるため、個別発散と共同評価を分ける。","A","意思決定直接研究","実験","発散","diehl-1987","実験課題|アイデアの質・実装を別途評価","2026-07-12"
"DM-C28","デルファイ法は匿名・反復・集約・フィードバックを用いるが、専門家選定、質問、脱落、集約規則、偽の合意を監査する。","B","意思決定直接研究","統合レビュー","専門家判断","rowe-1999","研究の異質性|権力が消えるわけではない","2026-07-12"
"DM-C29","集団は構成・課題・情報分布・組合せ規則により個人を上回りも下回りもするため、人数や多数決を品質の代理にしない。","A","意思決定直接研究","統合レビュー","集団判断","kerr-2004","課題と決定規則を明示","2026-07-12"
"DM-C30","精緻な集団情報処理には正確さを求める認識的動機と、協同・個人志向等の社会的動機が関係する。","B","意思決定直接研究","理論統合","動機","dedreu-2008","概念モデル|権力・評価制度を別途確認","2026-07-12"
"DM-C31","集団討議は平均意見をより極端へ動かす場合があるため、討議前の独立判断と分布を保存する。","A","意思決定直接研究","メタ分析","分極化","isenberg-1986","実験中心|極端化が常に誤りではない","2026-07-12"
"DM-C32","意思決定への参加は平均として小さな効果にとどまり得るため、意見聴取、情報提供、共同決定、拒否権を区別する。","A","意思決定隣接研究","メタ分析的レビュー","参加","wagner-1994","古い研究群|実質参加・権力差","2026-07-12"
"DM-C33","影響を受ける人の参加は効果向上だけでなく、権利、知識、正当性、分配のために設計し、参加しない選択と代表経路を持たせる。","実務原則","混合","権利・設計原則","参加・権利","wagner-1994|eu-platform-2024","形だけの参加を避ける|国内制度を確認","2026-07-12"
"DM-C34","意思決定権、助言権、拒否・停止権、実行責任、監査権を分け、最終責任者を明示する。","実務原則","混合","ガバナンス設計","決定権","lerner-1999|nist-ai-100","責任を一人へ過度集中しない","2026-07-12"
"DM-C35","可逆な決定は小さく試し、不可逆・高被害の決定は証拠・参加・独立確認・停止条件を厚くする。","実務原則","混合","リスク比例原則","可逆性","simon-1955|nist-ai-100","高リスク定義を用途別に設定","2026-07-12"
"DM-C36","継続・撤退・拡大の基準、期限、責任者を事前に定め、基準変更は理由と履歴を残す。","実務原則","混合","事前コミットメント","停止規則","staw-1976|baron-1988","硬直化せず新情報で更新","2026-07-12"
"DM-C37","意思決定記録には当時の目的、選択肢、情報、反証、予測、不確実性、参加者、利益相反、決定、更新条件を残す。","実務原則","混合","監査・学習設計","決定記録","christensen-1991|lerner-1999","個人監視・責任転嫁へ転用しない","2026-07-12"
"DM-C38","アルゴリズムの誤りを見ると過度に回避する場合も、条件により人より高く評価する場合もあり、好き嫌いで採否しない。","A","意思決定直接研究","実験","アルゴリズム助言","dietvorst-2015|logg-2019","実験課題|用途・性能・専門性に依存","2026-07-12"
"DM-C39","自動化は見落とし・誤助言への追従を生み得るため、人を承認ボタンにせず、独立情報、時間、権限、技能、代替経路を与える。","A","意思決定直接研究","実験・設計枠組み","自動化バイアス","skitka-1999|parasuraman-2000","古い自動化研究|現代AIへ用途別評価","2026-07-12"
"DM-C40","自動化への信頼は高ければよいのでなく、能力・限界・誤り率へ較正された適正依存を目指す。","A","意思決定直接研究","実験","信頼較正","dzindolet-2003","実験課題|信頼と利用を区別","2026-07-12"
"DM-C41","人とAIの相補性は自動的に生じず、誰が何を得意とし、どこで検証・異議・停止するかを仕事単位で設計する。","B","意思決定隣接研究","概念レビュー","人間AI協働","jarrahi-2018|parent-parker-2022","実証効果の統合ではない|技術更新","2026-07-12"
"DM-C42","AIリスク管理は組織統治、用途・影響の把握、測定、管理を継続し、導入時の一回審査で終えない。","実務原則","公式指針・制度","リスク管理","AI統治","nist-ai-100|nist-ai-600","自発的枠組み|法的義務を別途確認","2026-07-12"
"DM-C43","アルゴリズム管理は配分・監視・評価・報酬を変えるため、モデル性能だけでなく仕事の質、権力、健康、公平を評価する。","A","意思決定隣接研究","統合レビュー","アルゴリズム管理","kellogg-2020|parent-parker-2022","概念・レビュー|長期効果は未確立","2026-07-12"
"DM-C44","自動判断では入力データ、目的、論理・主要要因、影響、人の責任者、訂正、異議申立て、停止、記録を示す。","実務原則","公式指針・制度","透明性・救済","自動意思決定","eu-platform-2024|ilo-data|nist-ai-100","EU指令の適用範囲を限定|国内制度を確認","2026-07-12"
"DM-C45","労働者データを目的外利用せず、感情、忠誠心、精神健康、将来能力を本人に隠れて推定し、雇用判断へ用いることを支持しない。","不支持","予防原則に基づく推論","尊厳・プライバシー","個人データ","ilo-data|who-2022","推定誤差・文脈欠落・萎縮効果","2026-07-12"
"DM-C46","人による監督は名目配置でなく、理解、独立検討、介入・覆し・停止の権限と時間を持たせる。","実務原則","公式指針・制度","人の監督","人の監督","eu-platform-2024|nist-ai-100","自動化バイアス|責任の空洞化","2026-07-12"
"DM-C47","高リスク判断では、専門家、影響を受ける人、独立監査、労働者代表等の異なる知識と権限を組み合わせる。","実務原則","混合","多元的統治","高リスク","kerr-2004|eu-platform-2024|who-2022","参加者の安全・秘密保持|最終責任を明示","2026-07-12"
"DM-C48","意思決定改善は正解率だけでなく、過程、較正、時間、費用、健康、安全、公平、異議、実装、学習を追跡し、修正・撤回する。","実務原則","混合","評価設計","評価","baron-1988|nist-ai-100|who-2022","遠い成果ほど他要因が多い","2026-07-12"
