"id","claim","label","directness","relationship","scope","sources","limits","last_human_verified"
"OO-C01","マネジャーと直属部下の1on1を焦点にした直接実証研究は限られ、効果の断定はできない。","A","1on1直接（概念レビュー）","研究基盤の評価","定期1on1","flinchum-2022","隣接研究は設計根拠になるが1on1効果の証明ではない","2026-07-12"
"OO-C02","1on1は査定、業務進捗、育成、コーチング、相談、関係構築等の目的を分けて設計する必要がある。","実務原則","混合（1on1直接概念＋隣接研究）","概念整理","上司部下面談","flinchum-2022|pulakos-2011","目的を増やしすぎると安全性と時間が損なわれる","2026-07-12"
"OO-C03","フィードバック介入は平均で業績を改善するが、3分の1超で業績低下が報告された。","A","隣接研究","介入効果","フィードバック一般","kluger-denisi-1996","1on1固有でない|自己への注意、曖昧さ、脅威等で逆効果","2026-07-12"
"OO-C04","具体的で挑戦的な目標は、能力・コミットメント・フィードバック等の条件下で業績に寄与する。","A","隣接研究","理論・介入知見","目標設定一般","locke-latham-2002","複雑課題、学習、倫理、目標葛藤に注意|1on1固有でない","2026-07-12"
"OO-C05","人事評価への参加は評価反応と関連するが、育成1on1の効果とは同義でない。","A","隣接研究","関連","評価面談","cawley-1998|keeping-levy-2000|pichler-2012","反応と業績を区別|評価権力がある","2026-07-12"
"OO-C06","上司部下関係の質は態度・業績・離職等と関連するが、1on1頻度の因果効果ではない。","A","隣接研究","関連","LMX研究","gerstner-day-1997|martin-2016","関係の質と面談回数を混同しない|内集団・外集団格差","2026-07-12"
"OO-C07","管理職の開放性と心理的安全性は、発言・学習と関連する。","A","隣接研究","関連","職場・チーム","detert-burris-2007|edmondson-1999|frazier-2017","「何でも話して」と言うだけでは形成されない|1on1固有でない","2026-07-12"
"OO-C08","良質な傾聴は話者の感情・認知・関係へ影響し得るが、聞くことは同意や解決を保証しない。","B","隣接研究","統合知見","職場の傾聴","kluger-itzchakov-2022","測定・文脈の異質性|傾聴の演技にしない","2026-07-12"
"OO-C09","職場コーチングは肯定的平均効果を示すが、専門コーチ研究を管理職1on1へ直接外挿できない。","B","隣接研究","介入効果と外的妥当性","職場コーチング","theeboom-2014|jones-2016|cannon-bowers-2023","Jonesらは管理職—部下コーチングを除外|研究品質・異質性","2026-07-12"
"OO-C10","多面フィードバック後の業績改善は平均して小さく、受容・目標・行動・支援等に左右される。","B","隣接研究","介入後変化","多面評価","smither-2005","1on1固有でない|評価情報の量が改善を保証しない","2026-07-12"
"OO-C11","フィードバックを求める行動は個人動機と文脈に左右されるため、質問がないことを問題なしと解釈できない。","A","隣接研究","関連","フィードバック探索","anseel-2015|morrison-2014","沈黙には恐れ・無力感・関係維持がある","2026-07-12"
"OO-C12","1on1の頻度に万能な正解はなく、目的、変化速度、経験、負荷、希望に応じて設計・再評価する。","実務原則","1on1直接（概念レビュー）","直接証拠不足下の設計","定期1on1","flinchum-2022","週次・隔週等の優越を示す直接比較試験は不足","2026-07-12"
"OO-C13","発言機会を設けても、管理職が応答・是正せず不利益を与えるならvoiceの場として機能しない。","A","隣接研究","発言と応答","面談・職場","detert-burris-2007|morrison-2014","全提案を採用する義務とは異なり、検討・理由・保護が必要","2026-07-12"
"OO-C14","1on1メモは労働者個人データであり、目的・閲覧者・保存期間・訂正権を明示する必要がある。","実務原則","公式指針・データガバナンス","データガバナンス","面談記録","ilo-1997","国内法・就業規則を別途確認","2026-07-12"
"OO-C15","本人への説明なしに録音・自動文字起こし・感情推定を行うことを本ナビは支持しない。","不支持","公式指針・データガバナンス","監視・同意","1on1記録","ilo-1997","法的要件は地域で異なる|同意があっても必要性・最小化を確認","2026-07-12"
"OO-C16","私生活、健康、家族、診断等の自己開示を1on1で強制してはならない。","不支持","公式指針・データガバナンス","権力・プライバシー","上司部下面談","ilo-1997|who-2022","安全・配慮に必要な情報も本人の選択と適切な専門経路を優先","2026-07-12"
"OO-C17","育成1on1の内容を本人への予告なく査定・懲戒・退職勧奨へ転用してはならない。","不支持","混合（隣接研究＋公式指針）","目的外利用・権力","面談記録・発言","ilo-1997|cawley-1998","評価面談は目的・証拠・異議申立てを別途明示","2026-07-12"
"OO-C18","管理職は医療・心理支援の専門家ではなく、1on1を診断・治療の代替にできない。","A","公式指針・データガバナンス","役割境界","健康相談","who-2022","緊急性確認と適切な支援への接続は必要","2026-07-12"
"OO-C19","1on1評価は実施率や満足度だけでなく、行動・仕事条件・発言への応答・公平性・副作用を追う必要がある。","実務原則","混合（1on1直接概念＋隣接研究）","評価設計","組織施策","flinchum-2022|kluger-denisi-1996|pichler-2012","直接の標準アウトカムセットは未確立","2026-07-12"
"OO-C20","管理職ごとの1on1満足度ランキングや報酬直結は、報復懸念・迎合・小標本誤差を生み得るため支持しない。","不支持","予防原則に基づく推論","高重要度利用","1on1サーベイ","frazier-2017|ilo-1997","集団改善と個人査定を分ける","2026-07-12"
