"id","claim","label","directness","relationship","scope","sources","limits","last_human_verified"
"PM-C01","業績管理は、目的、目標、資源、測定、対話、評価、報酬、育成、異議、更新を結ぶ制度であり、年1回の評定だけではない。","実務原則","混合","統合からの定義","定義","denisi-2017|franco-2012","目的ごとに制度を分ける","2026-07-12"
"PM-C02","具体的で困難な目標は平均として業績を高め得るが、能力、コミットメント、フィードバック、課題複雑性等の条件がある。","A","人事評価直接研究","メタ分析・統合","目標設定","tubbs-1986|mento-1987|locke-2002","研究年代・課題差|健康・倫理・複数成果を別途確認","2026-07-12"
"PM-C03","目標は注意、努力、持続、方略へ作用する一方、目標外の重要成果を見えなくし得る。","A","人事評価直接研究","理論・レビュー","目標の経路","locke-2002|ordonez-2009","測れない成果・副作用を監視","2026-07-12"
"PM-C04","新規・複雑課題では、短期業績目標より学習目標が方略獲得を支え得る。","B","人事評価直接研究","実験","学習目標","seijts-2004|locke-2006","実験課題|学習時間・支援が必要","2026-07-12"
"PM-C05","目標コミットメントを強制的な同意や情熱の表明で測らず、期待、価値、参加、資源、実行可能性を確認する。","A","人事評価直接研究","メタ分析からの原則","目標コミットメント","klein-1999","相関研究を含む|拒否・再交渉を保護","2026-07-12"
"PM-C06","品質、量、安全、速度、学習等の複数目標はトレードオフを生むため、優先順位と拒否条件を明示する。","B","人事評価直接研究","実験・実務原則","複数目標","gilliland-1992|kerr-1975","実験課題|指標間関係を継続監視","2026-07-12"
"PM-C07","強い未達目標は条件により虚偽報告・危険行動等を促し得るため、倫理・安全の拒否条件と通報経路を設ける。","A","人事評価直接研究","実験・レビュー","目標の副作用","schweitzer-2004|ordonez-2009","実験課題|組織文化・統制を別途確認","2026-07-12"
"PM-C08","測りやすい代理指標を報酬対象にすると、望む成果と行動がずれる場合がある。","B","人事評価直接研究","概念・政策分析","指標ゲーム","kerr-1975|bevan-2006","個別指標の検証が必要","2026-07-12"
"PM-C09","閾値、ランキング、単一KPIは、待ち時間移転、対象除外、データ操作、品質低下等のゲーム化を監査する。","B","人事評価直接研究","政策分析","目標ゲーム","bevan-2006|franco-2012","特定制度・国|意図しない結果の測定","2026-07-12"
"PM-C10","MBO・OKR等の名称から効果を推定せず、目標品質、参加、上位支援、資源、レビュー、結果を個別に評価する。","A","混合","メタ分析・実務原則","目標制度","rodgers-1991|locke-2002","古いMBO研究を現代OKRへ直結しない","2026-07-12"
"PM-C11","人事評価の目的である査定、育成、報酬、配置、解雇、研究を一つの面談・得点へ詰め込まず、目的と権利を分ける。","実務原則","混合","レビューからの設計原則","評価目的","levy-2004|denisi-2017","目的間の緊張を開示","2026-07-12"
"PM-C12","業績評定は真の業績だけでなく、評定者固有の見方と測定誤差を大きく含み得る。","A","人事評価直接研究","メタ分析・分散分解","評定誤差","viswesvaran-1996|scullen-2000","信頼性は妥当性・公平性ではない","2026-07-12"
"PM-C13","単一の総合点へ還元せず、課題、品質、安全、協働、学習等の次元と証拠を分ける。","A","混合","評定研究・実務原則","評価尺度","landy-1980|scullen-2000","次元数と負担のバランス","2026-07-12"
"PM-C14","評価反応は公正、有用性、満足、正確性等で異なり、満足度だけを制度品質としない。","A","人事評価直接研究","測定研究","評価反応","keeping-2000|colquitt-2001","自己報告|結果への賛否と手続公正を区別","2026-07-12"
"PM-C15","評価は評定者の認知だけでなく、目的、関係、信頼、組織政治、文化、報酬制度の影響を受ける。","A","人事評価直接研究","統合レビュー","社会的文脈","levy-2004|landy-1980","レビュー|制度文脈を記録","2026-07-12"
"PM-C16","評価制度の改善を評定精度だけで判断せず、本人の業績・学習・健康・公平・仕事設計が改善したかを追う。","A","人事評価直接研究","100年レビュー","業績改善","denisi-2017","長期介入証拠の不足","2026-07-12"
"PM-C17","フィードバックは平均として業績を改善し得る一方、悪化させる場合もあり、人格・自己価値でなく課題・過程・次の行動へ向ける。","A","人事評価直接研究","メタ分析","フィードバック","kluger-1996","課題・介入の異質性|公開羞恥を正当化しない","2026-07-12"
"PM-C18","フィードバックを一回の面談でなく、情報源の信頼性、質、利用可能性、支援を含む環境として設計する。","B","人事評価直接研究","測定・概念","フィードバック環境","steelman-2004|ashford-1983","自己報告・尺度|常時監視と区別","2026-07-12"
"PM-C19","フィードバック探索は有益な場合があるが、探索量を成長意欲や忠誠心の代理にせず、質問の安全とコストを下げる。","A","人事評価直接研究","メタ分析","フィードバック探索","anseel-2015","相関研究中心|上司との関係・報復リスク","2026-07-12"
"PM-C20","多面フィードバック後の平均的改善は小さく、受容、目標、支援、継続対話等に依存する。","A","人事評価直接研究","メタ分析・レビュー","360度評価","smither-2005","研究の異質性|査定利用との混同","2026-07-12"
"PM-C21","360度評価は、匿名性、最小回答人数、閲覧者、開発利用と査定利用、報復防止を先に決める。","実務原則","混合","プライバシー・設計","360度評価","smither-2005|ilo-data","少人数の再特定|人気投票化","2026-07-12"
"PM-C22","強制順位・強制分布の潜在効果を示すシミュレーションは、協働、誤分類、健康、公平、離職への実証的安全性を証明しない。","B","人事評価直接研究","シミュレーションの限定","強制順位","scullen-2005","仮定依存|制度副作用の実証不足","2026-07-12"
"PM-C23","相対順位で報酬・雇用を決める場合、助け合いの抑制、情報隠し、妨害、運の差、チーム間比較可能性を監査する。","B","混合","理論・実務原則","トーナメント","lazear-1981|kerr-1975","理論モデル|個別制度で検証","2026-07-12"
"PM-C24","金銭インセンティブは平均として業績と関連するが、特に量と質、個人とチーム、短期と長期を分ける。","A","人事評価直接研究","メタ分析","金銭報酬","jenkins-1998|garbers-2014","研究・仕事の異質性|品質・安全・選抜効果","2026-07-12"
"PM-C25","成果給導入後の生産性上昇には行動変化だけでなく、誰が残り誰が入るかという選抜効果が含まれ得る。","A","人事評価直接研究","フィールド研究","成果給","lazear-2000","単一企業・特定仕事|因果の構成要素","2026-07-12"
"PM-C26","内発的動機と外発的誘因は単純な二者択一でなく、異なる業績面を同時に予測し得る。","A","人事評価直接研究","メタ分析","動機","cerasoli-2014","相関・実験混在|因果・課題差","2026-07-12"
"PM-C27","期待された有形報酬が内発的動機を低下させる条件はあるが、賃金・公正な報酬一般が有害という意味ではない。","A","人事評価直接研究","実験メタ分析","報酬と動機","deci-1999","教育・実験課題を多く含む|賃金と実験報酬を区別","2026-07-12"
"PM-C28","報酬と創造性の関係は、創造性を明示的に評価するか、報酬の予告、選択、基準等で異なる。","A","人事評価直接研究","メタ分析","創造性","byron-2012","実験を多く含む|創造性測定差","2026-07-12"
"PM-C29","公共・ケア・専門職の成果給は、測定可能性、使命、協働、利用者選別、質、安全への隠れた費用を評価する。","A","人事評価直接研究","メタ分析・レビュー","公共部門","weibel-2010|bevan-2006","公共部門中心|国制度差","2026-07-12"
