"id","authors","year","title","journal","doi","type","evidence_role","status","population","sample","method","finding","limitations","source_url","last_human_verified"
"jehn-1995","Jehn, K. A.","1995","A Multimethod Examination of the Benefits and Detriments of Intragroup Conflict","Administrative Science Quarterly, 40(2), 256–282","10.2307/2393638","multimethod field study","介入・実証研究","peer-reviewed","職場集団","複数職場集団","課題・関係対立と成果を定量・定性分析","対立の種類と仕事特性で影響が異なると報告","観察研究|古典的分類|課題対立を常に有益としない","https://doi.org/10.2307/2393638","2026-07-12"
"jehn-1997","Jehn, K. A.","1997","A Qualitative Analysis of Conflict Types and Dimensions in Organizational Groups","Administrative Science Quarterly, 42(3), 530–557","10.2307/2393737","qualitative field study","基礎理論・測定","peer-reviewed","職場集団","複数集団","対立内容・感情・規範等を質的分析","課題・関係・過程対立の区別を発展","特定組織|分類境界は重なる|文化・仕事依存","https://doi.org/10.2307/2393737","2026-07-12"
"simons-peterson-2000","Simons, T. L., & Peterson, R. S.","2000","Task Conflict and Relationship Conflict in Top Management Teams","Journal of Applied Psychology, 85(1), 102–111","10.1037/0021-9010.85.1.102","team field study","介入・実証研究","peer-reviewed","経営チーム","職場チーム標本","信頼が課題対立と関係対立の結びつきをどう変えるか分析","低信頼では課題対立が関係対立として受け取られやすい","経営チーム中心|観察研究|因果確定ではない","https://doi.org/10.1037/0021-9010.85.1.102","2026-07-12"
"de-dreu-weingart-2003","De Dreu, C. K. W., & Weingart, L. R.","2003","Task versus Relationship Conflict, Team Performance, and Team Member Satisfaction","Journal of Applied Psychology, 88(4), 741–749","10.1037/0021-9010.88.4.741","meta-analysis","統合研究","peer-reviewed","チーム研究","統合研究群","課題・関係対立と業績・満足を統合","両対立は平均して業績・満足と負に関連し、互いに強く相関","古い研究中心|異質性|課題対立の条件付き便益を否定し切らない","https://doi.org/10.1037/0021-9010.88.4.741","2026-07-12"
"de-wit-2012","De Wit, F. R. C., Greer, L. L., & Jehn, K. A.","2012","The Paradox of Intragroup Conflict: A Meta-Analysis","Journal of Applied Psychology, 97(2), 360–390","10.1037/a0024844","meta-analysis","統合研究","peer-reviewed","集団内対立研究","116独立標本等","対立種類、時期、仕事、測定等の条件を統合","関係・過程対立は概して有害、課題対立の関係は条件依存","観察研究中心|出版・測定差|因果方向の制約","https://doi.org/10.1037/a0024844","2026-07-12"
"bradley-2012","Bradley, B. H. et al.","2012","Reaping the Benefits of Task Conflict in Teams: The Critical Role of Team Psychological Safety Climate","Journal of Applied Psychology, 97(1), 151–158","10.1037/a0024200","team field study","介入・実証研究","peer-reviewed","チーム","職場チーム標本","心理的安全性が課題対立と業績の関係を調整するか分析","安全性が高い条件で課題対立の便益可能性を報告","観察研究|単一調整モデル|対立を意図的に増やす根拠ではない","https://doi.org/10.1037/a0024200","2026-07-12"
"greer-2008","Greer, L. L. et al.","2008","The Effects of Conflict Asymmetry on Work Group and Individual Outcomes","Academy of Management Journal, 51(5), 880–896","10.5465/amj.2010.51468978","multilevel field study","介入・実証研究","peer-reviewed","職場集団","複数チーム","成員間で対立認知が非対称な場合を分析","同じチームでも対立の見え方が異なり結果に関係する","観察研究|集約と個人認知を分ける","https://doi.org/10.5465/amj.2010.51468978","2026-07-12"
"behfar-2008","Behfar, K. J. et al.","2008","The Critical Role of Conflict Resolution in Teams","Journal of Applied Psychology, 93(1), 170–188","10.1037/0021-9010.93.1.170","multimethod team study","介入・実証研究","peer-reviewed","チーム","複数チーム","対立管理パターンと成果を比較","誰が正しいかより、明確なルール・公平・受容可能な割当等が機能と関係","観察・事例研究|成功チームの後方視的説明","https://doi.org/10.1037/0021-9010.93.1.170","2026-07-12"
"tjosvold-2008","Tjosvold, D.","2008","The Conflict-Positive Organization: It Depends upon Us","Journal of Organizational Behavior, 29(1), 19–28","10.1002/job.473","integrative review","統合研究","peer-reviewed","組織内対立","主要研究","協力的目標と建設的論争の研究を整理","相互依存目標が対立の扱いに関係すると整理","ナラティブレビュー|規範的主張を含む|権力濫用には直接適用しない","https://doi.org/10.1002/job.473","2026-07-12"
"rahim-1983","Rahim, M. A.","1983","A Measure of Styles of Handling Interpersonal Conflict","Academy of Management Journal, 26(2), 368–376","10.2307/255985","measure development","基礎理論・測定","peer-reviewed","組織成員","複数標本","自己・他者への関心から対立処理スタイルを測定","統合、配慮、支配、回避、妥協の尺度を提示","自己報告|固定人格分類にしない|尺度権利を確認","https://doi.org/10.2307/255985","2026-07-12"
"huffmeier-2014","Hüffmeier, J. et al.","2014","Being Tough or Being Nice? A Meta-Analysis on the Impact of Hard- and Softline Strategies in Distributive Negotiations","Journal of Management, 40(3), 866–892","10.1177/0149206311423788","meta-analysis","統合研究","peer-reviewed","分配交渉研究","統合研究群","強硬・柔軟戦術と経済・社会心理的結果を統合","戦術の効果は交渉結果の種類や条件で異なると報告","分配交渉中心|実験研究が多い|実職場・権力差への一般化","https://doi.org/10.1177/0149206311423788","2026-07-12"
"mazei-2015","Mazei, J. et al.","2015","A Meta-Analysis on Gender Differences in Negotiation Outcomes and Their Moderators","Psychological Bulletin, 141(1), 85–104","10.1037/a0038184","meta-analysis","統合研究","peer-reviewed","交渉者","統合研究群","性別差と交渉条件を統合","平均差は小さく、役割・情報・経験・交渉範囲等で変化","二元的性別分類中心|構造・交差性を十分扱わない|個人能力差としない","https://doi.org/10.1037/a0038184","2026-07-12"
"bowles-2007","Bowles, H. R., Babcock, L., & Lai, L.","2007","Social Incentives for Gender Differences in the Propensity to Initiate Negotiations","Organizational Behavior and Human Decision Processes, 103(1), 84–103","10.1016/j.obhdp.2006.09.001","experimental studies","介入・実証研究","peer-reviewed","交渉参加者","複数実験","交渉開始への社会的反応を検討","女性の自己交渉に社会的ペナルティが生じる条件を報告","実験・米国文脈|二元的性別|交渉しない個人を責めない","https://doi.org/10.1016/j.obhdp.2006.09.001","2026-07-12"
"galinsky-2001","Galinsky, A. D., & Mussweiler, T.","2001","First Offers as Anchors","Journal of Personality and Social Psychology, 81(4), 657–669","10.1037/0022-3514.81.4.657","laboratory experiments","介入・実証研究","peer-reviewed","交渉参加者","複数実験","最初の提示とアンカリングを検討","最初の提示が結果を引き寄せる効果を報告","実験中心|倫理・関係・情報差を別途考慮","https://doi.org/10.1037/0022-3514.81.4.657","2026-07-12"
"van-kleef-2004","Van Kleef, G. A., De Dreu, C. K. W., & Manstead, A. S. R.","2004","The Interpersonal Effects of Anger and Happiness in Negotiations","Journal of Personality and Social Psychology, 86(1), 57–76","10.1037/0022-3514.86.1.57","laboratory experiments","介入・実証研究","peer-reviewed","交渉参加者","複数実験","相手の怒り・幸福表出が譲歩へ与える影響を分析","感情表出が相手の推論と行動に影響する条件を報告","実験中心|怒りを戦術として推奨しない|威圧・差別・文化差","https://doi.org/10.1037/0022-3514.86.1.57","2026-07-12"
"thompson-1991","Thompson, L.","1991","Information Exchange in Negotiation","Journal of Experimental Social Psychology, 27(2), 161–179","10.1016/0022-1031(91)90020-7","laboratory experiments","介入・実証研究","peer-reviewed","交渉参加者","実験標本","選好情報の交換と統合的合意を検討","優先順位の情報交換が共同利益発見に寄与し得る","実験課題|秘密情報・安全・権力差を別途考慮","https://doi.org/10.1016/0022-1031(91)90020-7","2026-07-12"
"weingart-1990","Weingart, L. R. et al.","1990","Tactical Behavior and Negotiation Outcomes","International Journal of Conflict Management, 1(1), 7–31","10.1108/eb022670","negotiation process study","介入・実証研究","peer-reviewed","交渉参加者","交渉標本","戦術行動と統合的結果の過程を符号化","問題解決行動と情報交換の役割を報告","実験・符号化|組織継続関係への一般化","https://doi.org/10.1108/eb022670","2026-07-12"
"curhan-2006","Curhan, J. R., Elfenbein, H. A., & Xu, H.","2006","What Do People Value When They Negotiate?","Journal of Personality and Social Psychology, 91(3), 493–512","10.1037/0022-3514.91.3.493","measure development","基礎理論・測定","peer-reviewed","交渉者","複数標本","交渉の主観的価値尺度を開発","経済結果だけでなく自己・過程・関係・道具的価値を区別","自己報告|尺度権利|文化差","https://doi.org/10.1037/0022-3514.91.3.493","2026-07-12"
"elfenbein-2008","Elfenbein, H. A. et al.","2008","Are Some Negotiators Better Than Others?","Journal of Research in Personality, 42(6), 1465–1475","10.1016/j.jrp.2008.06.010","individual differences study","介入・実証研究","peer-reviewed","交渉参加者","反復交渉標本","交渉成果の個人差安定性を分析","一部の成果差に安定性があるが相手・課題との相互作用も大きい","実験・学生を含む|能力の固定ラベルにしない","https://doi.org/10.1016/j.jrp.2008.06.010","2026-07-12"
"wall-2001","Wall, J. A., Stark, J. B., & Standifer, R. L.","2001","Mediation: A Current Review and Theory Development","Journal of Conflict Resolution, 45(3), 370–391","10.1177/0022002701045003006","integrative review","統合研究","peer-reviewed","調停・仲介研究","主要文献","第三者仲介の行動・条件・結果を整理","仲介は手続・文脈・当事者・第三者行動で変わると整理","分野横断で職場直接研究に限定されない|研究設計の異質性","https://doi.org/10.1177/0022002701045003006","2026-07-12"
