"id","claim","label","relationship","scope","sources","limits","last_human_verified"
"TR-C01","離職は自発・非自発、回避可能・不可、機能的・非機能的等を区別して扱う必要がある。","A","分類","従業員離職","dalton-1982|shaw-1998|hom-2012","機能性は誰の視点かを明示する","2026-07-12"
"TR-C02","離職意向は実際の離職の予測因子だが、両者は同一ではない。","A","予測関連","個人レベル","steel-ovalle-1984|tett-meyer-1993|griffeth-2000","辞めたくても辞められない、意向なしで辞める場合がある","2026-07-12"
"TR-C03","仕事満足と組織コミットメントは離職意向・実離職と関連するが、単独では十分でない。","A","関連","従業員","tett-meyer-1993|griffeth-2000|rubenstein-2018","逆因果・共通方法バイアス|効果は文脈依存","2026-07-12"
"TR-C04","自発的離職には、不満の蓄積だけでなくショックを契機とする複数の意思決定経路がある。","B","過程モデル","自発的離職","lee-mitchell-1994|lee-1996","回想研究|すべての退職を経路分類できるとは限らない","2026-07-12"
"TR-C05","仕事・組織・地域への適合、つながり、離れる犠牲からなる埋め込みは離職を予測する。","A","予測関連","従業員","mitchell-2001|lee-2004|jiang-2012","高い埋め込みを拘束や忠誠義務に使わない","2026-07-12"
"TR-C06","離職の予測因子は、態度、行動、仕事条件、人間関係、外部機会、個人事情の複合である。","A","統合関連","自発的離職","cotton-tuttle-1986|griffeth-2000|rubenstein-2018","単一原因・単一施策へ還元しない","2026-07-12"
"TR-C07","集団離職率は平均して組織成果と負に関連するが、効果は種類・産業・職種・成果指標で変わる。","A","組織レベル関連","組織・事業単位","park-shaw-2013|hancock-2013|heavey-2013","因果は双方向|全離職ゼロが最適とは限らない","2026-07-12"
"TR-C08","現実的職務情報は期待調整を通じ離職等へ小さい影響を持ち得る。","B","介入関連","採用・入社前","phillips-1998|allen-2010","効果は小さい|情報の正直さと応募者の選択権が必要","2026-07-12"
"TR-C09","新人の役割明確性、社会的受容、適合、習熟は定着関連結果と関係する。","A","関連","新入社員","bauer-2007|bauer-2024","相関研究中心|オンボーディング施策の直接因果とは限らない","2026-07-12"
"TR-C10","人が残る理由は辞めない理由の単純な反転ではなく、職位・業績・雇用形態で異なり得る。","B","記述・差異","特定産業の大規模標本","hausknecht-2009|hom-2012","自己申告|単一産業|残留が自発的とは限らない","2026-07-12"
"TR-C11","一律の定着施策より、離職種類・対象・時期・原因を診断した施策が必要である。","実務原則","施策設計","組織","allen-2010|hom-2017|rubenstein-2018","原因診断にも測定誤差と回答バイアス","2026-07-12"
"TR-C12","日本の2024年離職率14.2%は常用労働者全体の公的推計で、個社の自発離職率と直接比較できない。","A","統計定義","日本の雇用動向調査","mhlw-2024","一般11.5%、パート21.4%と構成差|産業・雇用形態・分母を合わせる","2026-07-12"
"TR-C13","離職率は分子、分母、期間、対象者、除外条件を明示しなければ比較できない。","実務原則","測定","組織統計","mhlw-2024|park-shaw-2013","平均在籍人数等の分母方式が異なる","2026-07-12"
"TR-C14","退職面談だけでは、残った人・辞められない人・退職後に話せない人の経験を捉えられない。","B","測定上の限界","組織診断","hom-2012|hom-2017","匿名調査、在籍者調査、管理データ等を組み合わせる","2026-07-12"
"TR-C15","望ましい人材だけを選別して引き止める施策は、差別・不公正・チーム負荷を生む可能性がある。","実務原則","倫理・公平性","対象別定着","dalton-1982|hausknecht-2009","保護属性・機会格差・透明性を別途監査","2026-07-12"
"TR-C16","高い残留率だけで、健康、満足、公正、持続可能性が高いとは結論できない。","不支持","推論","組織評価","hom-2012|dalton-1982","辞められない残留、雇用市場制約、在留資格等を考慮","2026-07-12"
"TR-C17","メール、チャット、行動ログ等から個人の退職確率を秘密裏に推定し不利益決定へ使うことを本ナビは支持しない。","不支持","監視・高重要度推論","AI離職予測","eu-ai-act-2024|rubenstein-2018","法的義務は地域・用途・時期で異なる|集団改善と個人判定を分ける","2026-07-12"
"TR-C18","退職意思の表明を低忠誠・裏切りとみなし、昇進除外・報復・退職妨害を行うことは支持されない。","不支持","権利・倫理","退職対応","hom-2012","引継ぎ等の契約・法的義務は別途確認","2026-07-12"
"TR-C19","埋め込みを高めるために家族・地域・在留資格・福利厚生を退出障壁として利用してはならない。","不支持","拘束・権力","定着施策","mitchell-2001|jiang-2012","便益と依存・犠牲を区別する","2026-07-12"
"TR-C20","定着施策は離職率だけでなく、健康、公正、業績、欠勤、異動、属性別格差、副作用を評価する必要がある。","実務原則","評価","組織施策","allen-2010|park-shaw-2013|heavey-2013","短期的な離職抑制が長期悪化を隠す可能性","2026-07-12"
"TR-C21","同僚の求職・離職は、情報やショックを通じ周囲の離職過程と関係する可能性がある。","B","多層関連","チーム・職場","felps-2009","「感染」は比喩|退職者を責めない|共通の仕事条件を先に点検する","2026-07-12"
