"id","claim","label","directness","relationship","scope","sources","limits","last_human_verified"
"FW-C01","柔軟な働き方は、場所だけでなく、時間、量、順序、予測可能性、休暇、境界、ケア、契約、技術を含む仕事設計である。","実務原則","混合","統合からの定義","定義","allen-2015|baltes-1999|ilo-c156","職種・制度で選択肢が異なる","2026-07-12"
"FW-C02","テレワークの平均的効果は一様でなく、頻度、職務、本人選好、家庭環境、支援、対面接触、評価制度で変わる。","A","柔軟勤務直接研究","メタ分析・統合","テレワーク","gajendran-2007|allen-2015|martin-2012","研究年代・技術差|自己選択・因果制約","2026-07-12"
"FW-C03","在宅・出社・ハイブリッドの名称だけで生産性を推定せず、仕事の質、協働、学習、健康、離職、公平を用途別に測る。","実務原則","混合","多次元評価","成果","bloom-2015|bloom-2024|yang-2022","企業・職種・国・実装差|単一生産性指標の限界","2026-07-12"
"FW-C04","週2日在宅のハイブリッド勤務が定着を改善し業績を損なわなかった実験は有力だが、全職種・全頻度の普遍解ではない。","A","柔軟勤務直接研究","無作為フィールド実験","ハイブリッド","bloom-2024","単一企業・国・週2日モデル|他制度へ直輸入しない","2026-07-12"
"FW-C05","完全在宅の実験結果も、仕事の標準化、住環境、本人選好、対面機会に依存するため、選択と再選択を用意する。","A","柔軟勤務直接研究","無作為フィールド実験","完全在宅","bloom-2015","単一コールセンター・国|現代知識労働への一般化","2026-07-12"
"FW-C06","地理的柔軟性は通勤・居住選択等の利点を持ち得るが、税・労務・時差・孤立・賃金地域差・安全を別途設計する。","B","混合","準実験と実務原則","どこでも勤務","choudhury-2021|stutzer-2008","特定職種・国|法務・税務は国内外制度を確認","2026-07-12"
"FW-C07","遠隔移行で通信ネットワークが分断化・固定化する場合があるため、メッセージ量ではなく新しい関係、越境協働、意思決定品質を確認する。","A","柔軟勤務直接研究","自然実験","協働","yang-2022","単一企業・パンデミック|通信ログは協働品質の代理","2026-07-12"
"FW-C08","専門的孤立を出社日数だけで解決せず、相談先、非公式情報、スポンサー、学習、可視性、重要案件へのアクセスを設計する。","B","柔軟勤務直接研究","観察研究","孤立","golden-2008|allen-2015","研究年代・自己報告|因果方向","2026-07-12"
"FW-C09","遠隔勤務の健康は、自律性、仕事家庭境界、孤独、住環境、人間工学、仕事量、管理職・同僚支援の組合せで評価する。","B","柔軟勤務直接研究","体系的レビュー・観察","健康","charalampous-2019|oakman-2020|wang-2021","研究・パンデミック・自己報告の異質性","2026-07-12"
"FW-C10","在宅勤務を私有の部屋、机、通信、冷暖房、家族の無償協力を前提にせず、費用・設備・安全・プライバシーを定める。","実務原則","混合","健康・平等待遇","在宅環境","oakman-2020|ilo-c177","費用負担・安全衛生・労災は国内法を確認","2026-07-12"
