"id","claim","label","directness","relationship","scope","sources","limits","last_human_verified"
"OC-C01","組織文化は、共有された意味・前提・価値・規範・実践を含み、スローガンだけではない。","A","文化直接研究","概念定義","組織・職場","smircich-1983|schein-1990|hofstede-1990|schneider-2013","学派により定義が異なる","2026-07-12"
"OC-C02","組織風土は、何が方針・実践として期待され、支援され、報われるかについての共有認知を中心に扱う。","A","風土直接研究","概念定義","組織・職場","schneider-reichers-1983|james-2008|schneider-2013","個人の心理的風土と集団風土を区別","2026-07-12"
"OC-C03","文化と風土は関連するが同義ではなく、測定対象と分析レベルを明示する必要がある。","A","混合","概念境界","組織・職場","schneider-2013|james-2008","研究伝統間で境界は完全に固定しない","2026-07-12"
"OC-C04","人工物、掲示、服装、儀式だけから基本的前提を断定できない。","A","文化直接研究","解釈境界","組織・職場","schein-1990|hatch-1993","当事者の意味づけと実践を調べる","2026-07-12"
"OC-C05","宣言された価値と、実際に報酬・昇進・処分される行動を分けて評価する。","実務原則","混合","価値‐実践ギャップ","組織・職場","schein-1990|kaptein-2008|doj-compliance-2024","非公式報酬・例外処理も確認","2026-07-12"
"OC-C06","一つの組織に単一で完全に共有された文化があると仮定しない。","A","文化直接研究","統合・分化・曖昧性","組織・職場","meyerson-martin-1987|howard-grenville-2006","下位文化間の共通点と差を併記","2026-07-12"
"OC-C07","下位文化は問題ではなく、職種・拠点・歴史・専門性に応じた知識源になり得る。","A","文化直接研究","下位文化","組織・職場","howard-grenville-2006|golden-1992|meyerson-martin-1987","分断・格差・安全への影響は別評価","2026-07-12"
"OC-C08","強い文化は成員間合意が高いことを意味し得るが、内容が安全・公正であることを保証しない。","A","混合","強度・内容","組織・職場","chatman-oreilly-2016|schneider-strength-2002|gelfand-2011","抑圧・集団思考・逸脱抑制を監査","2026-07-12"
"OC-C09","同じ平均的風土得点でも、成員間の合意が高い集団と意見が分かれる集団は異なる。","A","風土直接研究","風土強度","組織・職場","chan-1998|schneider-strength-2002","十分な人数・集約統計が必要","2026-07-12"
"OC-C10","個人アンケートの平均を組織文化と呼ぶには、参照対象、合意、集約モデルを示す必要がある。","A","風土直接研究","多層測定","組織・職場","chan-1998|james-2008","小集団・欠測・分散を確認","2026-07-12"
"OC-C11","文化類型に普遍的な最良型はなく、成果との関連は指標・業界・戦略で異なる。","A","文化直接研究","メタ分析","組織・職場","hartnell-2011|denison-mishra-1995","類型は組織の全体像ではない|因果確定ではない","2026-07-12"
"OC-C12","文化得点と財務成果の関連を、文化変革の因果効果として扱わない。","不支持","文化直接研究","因果境界","組織・職場","hartnell-2011|denison-mishra-1995","逆因果・共通原因・選択を考慮","2026-07-12"
"OC-C13","文化診断を組織の性格診断やランキングとして表示しない。","不支持","混合","測定倫理","組織・職場","chatman-oreilly-2016|patterson-2005","尺度目的・比較可能性・誤差を明示","2026-07-12"
"OC-C14","安全文化は「安全第一」という標語ではなく、優先順位、資源、報告、学習、停止権限等の実践で評価する。","A","混合","安全風土","組織・職場","zohar-1980|clarke-2006|ilo-c187","事故件数だけで判断しない","2026-07-12"
