"id","claim","label","relationship","scope","sources","limits","last_human_verified"
"WE-C01","ワーク・エンゲージメントは、活力・熱意・没頭で特徴づけられる肯定的で充実した仕事上の状態である。","A","定義","UWES型ワーク・エンゲージメント","schaufeli-2002","employee engagement全般の唯一の定義ではない","2026-07-11"
"WE-C02","会社への忠誠や組織コミットメントとワーク・エンゲージメントは同義ではない。","A","概念境界","概念整理","macey-schneider-2008|bailey-2017","実務指標は複数概念を混ぜる場合がある","2026-07-11"
"WE-C03","仕事満足は仕事への評価、ワーク・エンゲージメントは活性化した状態を中心とし、区別される。","A","概念境界","概念整理","macey-schneider-2008|bailey-2017","相互に関連し得る","2026-07-11"
"WE-C04","employee engagementという語には、特性・状態・行動や独自企業指標が混在する。","A","測定上の異質性","employee engagement研究","macey-schneider-2008|bailey-2017","異なる尺度の得点を直接比較できない","2026-07-11"
"WE-C05","裁量、支援、フィードバック等の仕事資源は、エンゲージメントと平均して正に関連する。","A","主に関連、一部縦断","複数職種・国","schaufeli-bakker-2004|lesener-2019|mazzetti-2021","観察研究が多い|資源の効果は文脈で異なる","2026-07-11"
"WE-C06","挑戦的要求と阻害的要求では、エンゲージメントとの関連方向が異なる傾向がある。","B","関連","仕事要求研究","crawford-2010|mazzetti-2021","分類は文脈依存|過重労働の正当化にはならない","2026-07-11"
"WE-C07","エンゲージメントは職務遂行と平均して正に関連する。","A","主に関連","タスク・文脈的・適応的業績","christian-2011|neuber-2021","自己報告業績で強まり得る|個人の業績を保証しない","2026-07-11"
"WE-C08","エンゲージメントは欠勤と弱い負の関連を示す。","B","関連","欠勤研究","neuber-2021","制度・健康・記録法の影響|因果確定ではない","2026-07-11"
"WE-C09","成果が後のエンゲージメントを高める逆方向もあり、単純な一方向因果とは限らない。","B","双方向の可能性","縦断研究","inamizu-2018|lesener-2019","標本と測定間隔に制約","2026-07-11"
"WE-C10","エンゲージメントとバーンアウトは関連するが、完全な一本の軸の両端とは限らない。","A","弁別","測定・JD-R研究","schaufeli-2002|schaufeli-bakker-2004","尺度モデルに依存","2026-07-11"
"WE-C11","ワーカホリズムとエンゲージメントは併存し得るが、動機と健康結果から区別する必要がある。","A","弁別","日本を含む労働者研究","shimazu-2009|toth-kiraly-2020|lee-2021","横断研究が多い","2026-07-11"
"WE-C12","ワーク・エンゲージメント介入は平均して小さい肯定的効果を示す。","B","介入効果","職場介入研究","knight-2017|virga-2019|bjork-2021","研究数が少ない|自己報告・短期追跡中心|介入が異質","2026-07-11"
"WE-C13","ジョブ・クラフティングは後のエンゲージメントと小さい正の縦断関連を示す。","B","縦断関連","職場研究","frederick-2020","介入因果とは限らない|本人に裁量が必要","2026-07-11"
"WE-C14","日本語版UWESには日本の労働者標本での信頼性・妥当性検証がある。","A","測定妥当性","日本の労働者","shimazu-2008","診断尺度ではない|利用条件の確認が必要","2026-07-11"
"WE-C15","国間の生の平均差を、測定不変性の確認なしに国民性へ還元できない。","A","測定上の注意","文化間比較","shimazu-2010|schaufeli-2019","国は文化の単純な代理ではない","2026-07-11"
"WE-C16","エンゲージメント得点による個人ランキング、報酬連動、懲戒判断は研究上支持されない。","不支持","用途判断","人事利用","bailey-2017|schaufeli-2019","集団改善用測定と高重要度個人判断は必要精度が異なる","2026-07-11"
"WE-C17","明るさ、賛同、異論の少なさをエンゲージメントとして評価することは支持されない。","不支持","概念境界・倫理","観察評価","macey-schneider-2008","感情表出には個人・文化差がある","2026-07-11"
"WE-C18","高いエンゲージメントを長時間労働や休息侵害の正当化に使うことはできない。","不支持","倫理・健康","労働時間・境界","shimazu-2009|lee-2021","仕事への高投資と強迫性を区別する","2026-07-11"
"WE-C19","改善能力、任意性、プライバシー保護のない調査は、回答者へリスクを負わせる。","実務原則","倫理","組織サーベイ","bailey-2017","法的助言ではない","2026-07-11"
"WE-C20","低エンゲージメント得点だけで抑うつ、怠慢、離職意向を診断できない。","不支持","診断・推論","個人判断","macey-schneider-2008|bailey-2017","必要なら別の適切な評価と支援を行う","2026-07-11"
