"id","claim","label","directness","relationship","scope","sources","limits","last_human_verified"
"C01","仕事の意味は、本人が仕事をどう理解・解釈するかという広い概念で、意味ある仕事は本人にとって重要で価値ある仕事経験を指す。","A","意味ある仕事直接研究","概念境界","仕事の意味・意義・天職観・職業アイデンティティ","rosso-2010|steger-2012|martela-2018","定義・尺度が複数|文化・人生段階差","2026-07-12"
"C02","仕事の意義、自己実現、より広い目的への貢献を分け、一つの総合得点だけで説明しない。","A","意味ある仕事直接研究","構成次元","仕事の意味・意義・天職観・職業アイデンティティ","steger-2012|lips-wiersma-2012|martela-2018","尺度構造の差|項目は再配布しない","2026-07-12"
"C03","仕事そのものの意味と、職場・組織への所属による意味、人生全体の意味を区別する。","A","意味ある仕事直接研究","水準境界","仕事の意味・意義・天職観・職業アイデンティティ","rosso-2010|ward-2017","相互に影響するが同一でない","2026-07-12"
"C04","意味ある仕事を仕事満足、エンゲージメント、組織コミットメント、ウェルビーイングと同一視しない。","A","意味ある仕事直接研究","近接概念","仕事の意味・意義・天職観・職業アイデンティティ","allan-2019|may-2004|kahn-1990|bailey-2019","関連は因果・同一性を意味しない","2026-07-12"
"C05","天職は意味ある仕事の一形態・仕事志向であり、すべての人が持つべき到達点ではない。","A","天職直接研究","天職の境界","仕事の意味・意義・天職観・職業アイデンティティ","wrzesniewski-1997|dik-2009|duffy-2013-review|schabram-2023","定義・宗教性・文化差","2026-07-12"
"C06","「仕事」「キャリア」「天職」を固定人格タイプにせず、同時に持つ、時間と状況で変わる可能性を認める。","A","天職直接研究","仕事志向の動態","仕事の意味・意義・天職観・職業アイデンティティ","wrzesniewski-1997|schabram-2023","自己報告分類|生活段階・職務変化","2026-07-12"
"C07","天職を知覚することと、実際に天職を生きられることを分け、機会・所得・健康・ケア・差別等の制約を扱う。","A","天職直接研究","知覚と実践","仕事の意味・意義・天職観・職業アイデンティティ","duffy-2013-life|duffy-2014|duffy-2012","観察・自己報告|機会の選択効果","2026-07-12"
"C08","職業アイデンティティは職業・専門役割と結び付く自己理解であり、職務記述や資格そのものではない。","A","アイデンティティ直接研究","職業アイデンティティ","仕事の意味・意義・天職観・職業アイデンティティ","pratt-2006|brown-2015","学派・定義の多様性","2026-07-12"
"C09","専門職アイデンティティ、組織同一化、役割アイデンティティ、個人の自己全体を分ける。","A","アイデンティティ直接研究","アイデンティティ水準","仕事の意味・意義・天職観・職業アイデンティティ","kreiner-2006|brown-2015|caza-2018","複数同時存在|境界の流動性","2026-07-12"
"C10","仕事の意味を「社会的に立派な職業」かどうかで決めず、本人の経験、仕事条件、他者への影響、倫理を確認する。","実務原則","混合","価値判断の境界","仕事の意味・意義・天職観・職業アイデンティティ","michaelson-2014|yeoman-2014|ashforth-1999","社会的評価と本人の意味を分ける","2026-07-12"
"C11","意味ある仕事の平均的関連を、意味研修が健康・業績を必ず改善する因果保証に変換しない。","A","意味ある仕事直接研究","因果の限界","仕事の意味・意義・天職観・職業アイデンティティ","allan-2019|bailey-2019","相関・自己報告中心|介入研究が限定","2026-07-12"
"C12","意味を感じないことを病気、怠惰、低適性、低忠誠と診断しない。","不支持","予防原則に基づく推論","病理化の禁止","仕事の意味・意義・天職観・職業アイデンティティ","rosso-2010|ward-2017","仕事外の意味源・一時的状態|個人差","2026-07-12"
"C13","本人の価値観・天職・使命を採用・昇進・配置・退職勧奨の秘密スコアにしない。","不支持","公式指針・制度","人事悪用の禁止","仕事の意味・意義・天職観・職業アイデンティティ","japan-appi|japan-labor-contract","目的・同意・差別・適法性|価値観の変化","2026-07-12"
"C14","「使命への共感」を最低賃金、残業代、安全、休息、合理的配慮、発言・通報の権利より優先しない。","不支持","公式指針・制度","権利の優先","仕事の意味・意義・天職観・職業アイデンティティ","ilo-fundamental-rights|japan-labor-standards|japan-osh-act|japan-whistleblower","個別法的適用を確認","2026-07-12"
"C15","意味ある仕事はディーセント・ワークの代替ではなく、公正な条件・権利・社会保護・対話と両立させる。","A","公式指針・制度","ディーセント・ワーク","仕事の意味・意義・天職観・職業アイデンティティ","ilo-decent-work|un-sdg8|michaelson-2014|ferraro-2018","国際規範と実証尺度を分ける|個別法を確認","2026-07-12"
"C16","自律性、有能感、関係性の欲求充足は動機・健康等と関連するが、意味そのものと同一ではない。","A","動機づけ隣接研究","自己決定理論との境界","仕事の意味・意義・天職観・職業アイデンティティ","deci-2017|vandenbroeck-2016","意味専用研究でない|自己報告・横断を含む","2026-07-12"
"C17","自律的に価値を内在化することと、罪悪感・承認・圧力で使命へ従わせることを区別する。","A","動機づけ隣接研究","内在化と統制","仕事の意味・意義・天職観・職業アイデンティティ","gagne-2005|deci-2017","動機は連続的・変化可能","2026-07-12"
