"id","claim","label","directness","relationship","scope","sources","limits","last_human_verified"
"C01","孤独は望む関係と実際の関係の主観的なずれであり、一人でいる時間や人付き合いの少なさそのものではない。","A","基礎・隣接研究","概念境界","職場の孤独・所属感・社会的つながり","cacioppo-2009|russell-1996|hawkley-2010","職場固有性は別評価|本人の意味づけを確認","2026-07-12"
"C02","社会的孤立は接触・関係・参加の客観的な乏しさを指し、孤独と重なるが同一ではない。","A","基礎・隣接研究","概念境界","職場の孤独・所属感・社会的つながり","steptoe-2013|shankar-2011|lubben-2006","測定する関係範囲で変わる","2026-07-12"
"C03","情緒的孤独と社会的孤独を区別し、親密な理解者の不足とネットワーク・集団参加の不足を一つに潰さない。","A","基礎・隣接研究","孤独の次元","職場の孤独・所属感・社会的つながり","gierveld-2006","尺度・文化による構造差","2026-07-12"
"C04","職場孤独は仕事上の関係の質・利用可能性への主観的評価であり、一般的孤独や抑うつ、専門的孤立と区別する。","A","職場直接研究","職場孤独の定義","職場の孤独・所属感・社会的つながり","ozcelik-2018|golden-2008|cacioppo-2006","尺度間差|横断自己報告","2026-07-12"
"C05","専門的孤立は情報、学習、可視性、発達機会から切り離される経験で、親密さの不足だけを意味しない。","A","職場直接研究","専門的孤立","職場の孤独・所属感・社会的つながり","cooper-2002|golden-2008","遠隔勤務以外にも生じる","2026-07-12"
"C06","職場排斥は無視、会話・情報・機会からの除外等であり、明示的拒絶や害意が確認できる場合だけに限定しない。","A","職場直接研究","排斥の定義","職場の孤独・所属感・社会的つながり","ferris-2008|robinson-2013","意図と影響を区別|通常の業務境界を確認","2026-07-12"
"C07","所属感は受け入れられ価値ある成員だと感じる経験で、忠誠、服従、組織同一化、エンゲージメントと同一ではない。","A","混合","所属の境界","職場の孤独・所属感・社会的つながり","malone-2012|jena-2018|riketta-2005|kahn-1990","尺度の職場直接性が異なる","2026-07-12"
"C08","包摂は所属だけでなく独自性を保てることを含み、同化や自己開示を強制して作らない。","A","包摂隣接研究","包摂の境界","職場の孤独・所属感・社会的つながり","shore-2011","概念モデル|文化・属性差","2026-07-12"
"C09","心理的安全性は対人的リスクのある発言が罰されにくい認知であり、親しさ、快適さ、孤独の低さとは別である。","A","チーム隣接研究","心理的安全性との境界","職場の孤独・所属感・社会的つながり","edmondson-1999|frazier-2017","チーム・個人水準を分ける","2026-07-12"
"C10","組織支援知覚、上司支援、同僚支援、実際に利用できた支援を区別して測る。","A","支援直接研究","支援の発生源","職場の孤独・所属感・社会的つながり","chiaburu-2008|rhoades-2002|kurtessis-2017","知覚と実装の差|発生源間の重複","2026-07-12"
"C11","一人で集中する選択や低い社交欲求を問題化せず、苦痛、望まない切断、仕事上の不利益、支援への到達を確認する。","実務原則","混合","選択と苦痛","職場の孤独・所属感・社会的つながり","baumeister-1995|cacioppo-2009","個人差・神経多様性・文化差","2026-07-12"
"C12","独居、遠隔勤務、内向性、障害、年齢等から孤独を推定せず、本人の回答と具体的な接続条件を確認する。","不支持","予防原則に基づく推論","属性推定の禁止","職場の孤独・所属感・社会的つながり","russell-1996|steptoe-2013|japan-appi","代理差別・誤分類|属性は原因でない","2026-07-12"
"C13","孤独と孤立を健康診断・人事評価・配置適性の秘密スコアとして利用しない。","不支持","公式指針・制度","用途制限","職場の孤独・所属感・社会的つながり","japan-appi|who-work-2022","要配慮情報・雇用判断の適法性を確認","2026-07-12"
"C14","孤独・孤立と死亡、心血管、抑うつ等の関連は重要だが、一般人口の平均関連を個人の予後や職場原因へ直接変換しない。","A","基礎・隣接研究","健康関連の限界","職場の孤独・所属感・社会的つながり","holt-2010|holt-2015|valtorta-2016|leigh-hunt-2017","観察研究|職場直接性なし|個人予測不可","2026-07-12"
