"id","claim","label","directness","relationship","scope","sources","limits","last_human_verified"
"CF-C01","職場の対立は、課題内容、対人関係、役割・手順・資源配分などの過程対立に分けて扱う必要がある。","A","対立直接研究","概念分類","職場・組織","jehn-1995|jehn-1997|de-wit-2012","種類は重なり、時系列で変化する","2026-07-12"
"CF-C02","課題対立は常に創造性や業績を高めるわけではなく、平均的には負の関連も報告される。","A","対立直接研究","メタ分析","職場・組織","de-dreu-weingart-2003|de-wit-2012","仕事、時期、安全性、関係対立との混在で変わる","2026-07-12"
"CF-C03","関係対立と過程対立は、チーム業績・満足等に概して不利な関連を持つ。","A","対立直接研究","メタ分析","職場・組織","de-dreu-weingart-2003|de-wit-2012","因果方向・測定の重なり","2026-07-12"
"CF-C04","課題対立が有益になり得る条件として、心理的安全性、信頼、低い関係対立、適切な時期等が示唆される。","B","対立直接研究","条件付き関連","職場・組織","simons-peterson-2000|bradley-2012|de-wit-2012","対立を意図的に増やす効果証明ではない","2026-07-12"
"CF-C05","同じチームでも、誰がどれほど対立を経験しているかは一致しない。","A","対立直接研究","認知非対称","職場・組織","greer-2008","平均値で少数者の経験を消さない","2026-07-12"
"CF-C06","会議で反論が出ないことは、合意、納得、対立不存在の証拠ではない。","A","混合","沈黙境界","職場・組織","morrison-2014|detert-edmondson-2011","恐れ、無力感、関係保護、時間不足を確認","2026-07-12"
"CF-C07","「健全な対立」を掲げても、地位差、報復、差別、過重労働があれば自由な異議とは言えない。","実務原則","混合","権力・発言安全","職場・組織","tjosvold-2008|morrison-2014|kish-gephart-2009|burris-2012","協力的目標だけで権力濫用を解消しない|形式的発言機会と実質的影響を区別","2026-07-12"
"CF-C08","対立処理スタイルを固定的な性格タイプや優劣ランキングとして使わない。","不支持","対立直接研究","測定境界","職場・組織","rahim-1983","場面、目的、権力、安全で行動は変わる|尺度権利を確認","2026-07-12"
"CF-C09","回避は常に悪ではなく、危険、感情高揚、情報不足、権力差の下では一時停止や外部支援が安全な場合がある。","実務原則","混合","状況適合","職場・組織","rahim-1983|ilo-c190","長期放置・報復・証拠消失を防ぐ","2026-07-12"
"CF-C10","対立の早期対応は、非公式対話を強制することではなく、選択肢と安全な入口を早く提供することである。","実務原則","混合","早期解決","職場・組織","saundry-2013|latreille-2012|ilo-r206","重大事案は直ちに正式・外部経路へ","2026-07-12"
"CF-C11","無礼、いじめ、ハラスメント、暴力、差別、労働争議、公益通報を一つの「人間関係トラブル」にまとめない。","A","混合","境界分類","職場・組織","andersson-pearson-1999|nielsen-einarsen-2012|willness-2007|ilo-c190|japan-whistleblower","定義・権利・対応が異なる","2026-07-12"
"CF-C12","行為者の意図が不明でも、無礼や反復する排除の影響と組織条件を調べる価値がある。","A","対立直接研究","意図・影響","職場・組織","andersson-pearson-1999|cortina-2001","意図を推定で断定しない|法的要件とは別","2026-07-12"
"CF-C13","無礼を受けたり目撃したりすることは、短期的な認知・業績・創造性を損なう可能性がある。","A","対立直接研究","実験効果","職場・組織","porath-erez-2007","実験中心|長期・実職場への一般化","2026-07-12"
