"id","claim","label","directness","relationship","scope","sources","limits","last_human_verified"
"CD-C01","能力開発は研修受講だけでなく、仕事設計、実践、振り返り、関係、フィードバック、配置、移動、資格・認証、権利を結ぶ制度である。","実務原則","混合","統合からの定義","定義","salas-2012|noe-2014|parker-2014","組織・職種・人生段階で構成が異なる","2026-07-12"
"CD-C02","研修は平均として知識・技能・行動・結果を改善し得るが、受講完了や満足だけでは有効性を判断できない。","A","能力開発直接研究","メタ分析・統合","研修効果","arthur-2003|aguinis-2009|bell-2017","研修・評価方法の異質性|長期維持を別途確認","2026-07-12"
"CD-C03","研修はニーズ分析、明確な学習目標、練習、フィードバック、保持、職場適用、評価までを一続きに設計する。","実務原則","能力開発直接研究","統合レビュー","研修設計","salas-2012|baldwin-1988","実装資源と職務固有性が必要","2026-07-12"
"CD-C04","学習成果、職場行動、組織結果を分け、各段階の測定時点・情報源・比較条件を定める。","実務原則","混合","評価設計","研修評価","arthur-2003|salas-2012","遠い結果ほど他要因が多い","2026-07-12"
"CD-C05","研修転移は本人の意欲だけでなく、上司・同僚支援、適用機会、仕事設計、道具、時間、報酬・評価制度に依存する。","A","能力開発直接研究","メタ分析・統合","研修転移","blume-2010|tracey-1995|grossman-2011","相関研究中心|転移測定・期間差","2026-07-12"
"CD-C06","学んだ技能を使う機会がないとき、転移不足を本人の能力・動機不足とみなさない。","実務原則","混合","機会と転移","適用機会","baldwin-1988|grossman-2011","職務・配置の個別分析が必要","2026-07-12"
"CD-C07","対面・オンライン・混合という媒体名だけで効果を推定せず、内容、相互作用、練習、支援、アクセス、離脱を比較する。","A","能力開発直接研究","メタ分析","学習媒体","sitzmann-2006|salas-2012","技術世代差|自己選択・デジタル格差","2026-07-12"
"CD-C08","研修参加の動機を性格や忠誠心の得点にせず、価値、自己効力感、時間、費用、上司支援、キャリア上の効用を確認する。","A","能力開発直接研究","メタ分析・統合","学習動機","colquitt-2000|gegenfurtner-2011","相関・自己報告を含む|動機の強制に注意","2026-07-12"
"CD-C09","複雑技能では、説明だけでなく練習、試行、具体的フィードバック、自己調整を組み込む。","A","能力開発直接研究","実験・統合","能動学習","bell-2008|salas-2012","実験課題から職場への一般化|安全領域は監督が必要","2026-07-12"
"CD-C10","誤り管理訓練は平均的に有効でも、重大事故につながる課題では誤り予防、シミュレーション、監督、停止権を優先する。","A","混合","メタ分析と予防原則","誤り学習","keith-2008|salas-2012","安全重要領域へ無監督で一般化しない","2026-07-12"
"CD-C11","学習内容を間隔を空けて再訪し、想起・応用する機会を設けることは長期保持を支え得る。","A","能力開発隣接研究","メタ分析・統合","学習技法","cepeda-2006|dunlosky-2013","教育・記憶課題中心|職場行動への直接性制約","2026-07-12"
"CD-C12","自己申告の視覚型・聴覚型等へ教授法を合わせれば学習が高まるという「学習スタイル適合」を標準施策として支持しない。","不支持","能力開発隣接研究","体系的証拠レビュー","学習スタイル","pashler-2008","学習上の好み・障害へのアクセシビリティは尊重","2026-07-12"
"CD-C13","非公式学習は、試行、観察、質問、情報探索、振り返り、他者との共同作業など日常の仕事に埋め込まれる。","A","能力開発直接研究","メタ分析・統合","非公式学習","cerasoli-2018|noe-2014|tynjala-2008","定義・尺度の異質性|不可視労働化に注意","2026-07-12"
"CD-C14","非公式学習を「自主性」の名で無給の時間外学習へ押し出さず、勤務時間、道具、相談、実践機会を設ける。","実務原則","混合","制度設計","学習時間","kyndt-2013|ilo-r195|unesco-rale","労働時間・賃金・訓練義務は国内法を確認","2026-07-12"
"CD-C15","学習文化は、研修本数でなく、問い、対話、協働、知識共有、実験、支援、制度への反映で評価する。","B","能力開発直接研究","測定・統合","学習文化","marsick-2003|tynjala-2008","自己報告|文化得点を個人査定に使わない","2026-07-12"
"CD-C16","学習参加を本人の意欲だけで説明せず、仕事量、裁量、契約形態、勤務帯、言語、障害、ケア、費用、選抜基準を調べる。","A","混合","体系的レビューと公式原則","参加格差","kyndt-2013|ilo-r195|unesco-rale","群別データの再特定|国内制度差","2026-07-12"
"CD-C17","挑戦的配置は発達を促し得る一方、過大な難度・支援不足では学習と健康を損ない得るため、段階、支援、停止条件を設ける。","B","能力開発直接研究","観察研究","挑戦的経験","derue-2009|dragoni-2009","管理職中心|選抜・交絡|健康効果の直接研究限定","2026-07-12"
"CD-C18","発達的配置へのアクセスを上司の好み・非公式ネットワークだけで決めず、基準、候補、本人希望、結果差を監査する。","実務原則","混合","機会配分","発達機会","dragoni-2009|seibert-2001|ilo-r195","ネットワーク測定・プライバシー|国内制度差","2026-07-12"
"CD-C19","ストレッチアサインメントを、権限・時間・報酬のない追加負担や失敗時の一方的責任にしない。","実務原則","混合","権力・仕事設計","挑戦的配置","derue-2009|parker-2014","具体的職務・労働条件を確認","2026-07-12"
"CD-C20","メンタリングは平均的にキャリア・心理社会的成果と関連するが、効果は概して万能ではなく、自己選択と関係の質を考慮する。","A","能力開発直接研究","メタ分析","メンタリング","allen-2004|eby-2008|underhill-2006","相関研究中心|公式・非公式の異質性|負の経験を別途確認","2026-07-12"
"CD-C21","メンターの割当では、目的、期間、守秘、利害関係、変更・退出、評価への利用、報復防止を先に決める。","実務原則","混合","関係統治","メンタリング","eby-2008|ilo-data","メンタリング固有の介入効果証明ではない","2026-07-12"
"CD-C22","単一の有力者との関係だけをキャリア資源にせず、複数の相談先、同僚、専門共同体、スポンサー機能への公平なアクセスを作る。","実務原則","混合","社会関係資本と機会","開発ネットワーク","seibert-2001|allen-2004","ネットワークの質・権力差|スポンサー制度の直接証拠限定","2026-07-12"
"CD-C23","職場コーチングは平均的に学習・業績・ウェルビーイング等を改善し得るが、目的、提供者、守秘、期間、利益相反を明示する。","A","能力開発直接研究","メタ分析","コーチング","jones-2016|theeboom-2014","研究数・質の差|自己報告|スポンサー利益相反","2026-07-12"
"CD-C24","コーチングを、治療、懲戒、査定通知、組織問題の個人化の代替にしない。","実務原則","混合","境界設定","コーチング境界","theeboom-2014|parker-2014","医療・心理支援は適格専門家へ|直接比較研究限定","2026-07-12"
"CD-C25","キャリア成功を給与・役職だけに限定せず、本人が重視する学習、健康、意味、関係、自律、安定、社会貢献等を含める。","B","能力開発直接研究","統合・概念","キャリア成功","ng-2005|heslin-2005|devos-2020","価値・文化・人生段階差|尺度選択","2026-07-12"
"CD-C26","客観的キャリア成功と主観的キャリア成功は区別し、組織の昇進数を本人の持続可能性と同一視しない。","A","能力開発直接研究","メタ分析・統合","キャリア成功","ng-2005|heslin-2005","相関研究中心|給与・昇進の制度差","2026-07-12"
"CD-C27","キャリア適応性は関心、統制、好奇心、自信等と関連するが、雇用喪失・差別・地域需要・ケア制約を個人の適応力不足へ還元しない。","A","混合","メタ分析と制度的限定","キャリア適応","rudolph-2017-career|johnston-2018|ilo-r195","相関研究中心|尺度・文化差|構造要因を別途測定","2026-07-12"
"CD-C28","キャリアショック後の進路変更を常に成長物語として評価せず、損失、回復時間、選択肢、支援、本人の意味づけを扱う。","B","能力開発直接研究","概念統合","キャリアショック","akkermans-2018|devos-2020","概念研究中心|出来事・時間・文化差","2026-07-12"
"CD-C29","雇用可能性は多次元であり、単一スキル得点や「市場価値」で人の価値・雇用責任を置き換えない。","B","能力開発直接研究","概念・測定","雇用可能性","fugate-2004|vanderheijde-2006","雇用需要・差別・地域条件を含まない場合|自己報告","2026-07-12"
"CD-C30","能力開発とキャリア成果の関係は、学習機会、職務、雇用需要、認証、移動機会、差別等に左右され、修了証だけで保証されない。","B","混合","観察・公式原則","能力と機会","devos-2011|ilo-r195|eu-microcred-2022","因果方向|国・労働市場差","2026-07-12"
"CD-C31","職業興味は進路探索の一情報になり得るが、固定された適性・能力・可能性の上限として扱わない。","A","能力開発隣接研究","メタ分析","職業興味","nye-2012","相関研究|職種・測定差|本人の選択と機会を確保","2026-07-12"
"CD-C32","人と仕事の適合を「組織に似ている人」の選抜に使わず、仕事・役割・支援・環境を変える選択肢も検討する。","A","混合","メタ分析と包摂的設計","適合","kristofbrown-2005|parker-2014","知覚適合と客観適合|同質化・差別リスク","2026-07-12"
"CD-C33","学習目標志向を固定的人格ラベルや昇進条件にせず、課題ごとに学習を選べる環境と支援を設ける。","A","能力開発隣接研究","メタ分析","学習志向","payne-2007|derue-2009","特性・状態測定差|自己報告|機会差","2026-07-12"
"CD-C34","プロアクティブ行動やジョブ・クラフティングを奨励する場合、裁量、調整権、同僚への影響、安全、正式な仕事再設計を伴わせる。","A","混合","メタ分析・測定","能動的キャリア","parker-2010|rudolph-2017-crafting|wrzesniewski-2001","相関研究中心|権限差|要求増大","2026-07-12"
"CD-C35","ジョブ・クラフティングを、人員不足、過重労働、不明確な役割を本人が工夫して埋める制度にしない。","実務原則","混合","仕事設計と予防原則","仕事再設計","rudolph-2017-crafting|parker-2014","職務固有の評価が必要","2026-07-12"
"CD-C36","仕事そのものの自律性、技能多様性、完全性、フィードバック、他者との関係を能力開発の基盤として設計する。","A","能力開発直接研究","統合レビュー","発達的仕事設計","parker-2014|noe-2014","職種・安全制約|因果研究の異質性","2026-07-12"
"CD-C37","学習予算だけでなく、使える時間、代替要員、上司承認、受講条件、移動・端末・言語・アクセシビリティを含む実質アクセスを監査する。","実務原則","公式指針・制度","包摂的アクセス","学習アクセス","ilo-r195|unesco-rale|eu-ila-2022","国内制度・財源差|個人データ保護","2026-07-12"
"CD-C38","年齢から学習意欲、適応力、技術能力、変化への抵抗を推定せず、本人の希望、経験、職務、支援を確認する。","A","混合","メタ分析と非固定化","年齢と学習","kooij-2011|ng-2012-age|maurer-2003","平均差を個人へ適用しない|コホート・職種差","2026-07-12"
"CD-C39","能力開発の対象選定では、正規・非正規、短時間、派遣、請負、夜勤、遠隔、休職・復職、ケア責任、障害等による参加差を監査する。","実務原則","公式指針・制度","機会均等","包摂","ilo-r195|unesco-rale|eu-ila-2022","法的適用範囲・契約関係は国内法を確認|少人数の再特定","2026-07-12"
"CD-C40","学習の自己責任化を避け、個人、管理職、組織、教育提供者、労使、公共制度の責任・資源を明示する。","実務原則","公式指針・制度","責任分配","責任","ilo-c142|ilo-r195|unesco-rale","国内制度・労使関係差","2026-07-12"
"CD-C41","リスキリングは将来職務・需要・移動経路・賃金・選考との接続を示し、単に大量受講を促す施策にしない。","実務原則","混合","訓練とキャリア接続","リスキリング","salas-2012|ilo-r195|eu-ila-2022","需要予測の不確実性|雇用保証ではない","2026-07-12"
"CD-C42","スキルギャップを本人の欠陥として示さず、職務要件の妥当性、仕事再設計、採用・配置・チーム能力、技術変更を含めて検討する。","実務原則","混合","社会技術的設計","スキルギャップ","parker-2014|bell-2017|nist-ai-100","職務分析と将来予測の不確実性","2026-07-12"
