"id","claim","label","directness","relationship","scope","sources","limits","last_human_verified"
"PW-C01","権力は個人が所有する性格ではなく、資源・選択肢・依存・関係・制度から生じる。","A","権力直接研究","権力‐依存","組織・職場","emerson-1962|brass-1984","争点・時点・代替可能性で変わる","2026-07-12"
"PW-C02","役職上の権限、専門知、情報、予算、ネットワーク、評価・処分権を分けて権力を調べる。","実務原則","混合","権力源","組織・職場","emerson-1962|brass-1984|magee-galinsky-2008","非公式権力を個人監視にしない","2026-07-12"
"PW-C03","権力と地位は同じではなく、資源を統制する権力と、尊敬・威信としての地位を区別する。","A","権力直接研究","概念境界","組織・職場","magee-galinsky-2008|anderson-2006","役職・収入・人気とも別概念","2026-07-12"
"PW-C04","組織図だけで意思決定権を判断せず、実際の拒否権、議題設定、情報アクセス、例外承認を確認する。","実務原則","混合","実質権限","組織・職場","brass-1984|emerson-1962","秘密の個人権力ランキングを作らない","2026-07-12"
"PW-C05","権力は行動を活性化し得る一方、個別情報への注意、他者視点、過信、手段視等と関係する条件がある。","A","権力直接研究","権力効果","組織・職場","fiske-1993|keltner-2003|galinsky-2006|fast-2012|gruenfeld-2008","短期実験を多く含む|役職者の人格診断に使わない","2026-07-12"
"PW-C06","権力効果は目標、責任、制度、個人差で変わるため、「権力は必ず人を腐敗させる」と断定しない。","A","権力直接研究","境界条件","組織・職場","guinote-2017|magee-galinsky-2008","危害予防と一律烙印を分ける","2026-07-12"
"PW-C07","高権力者の善意や自己認識だけに頼らず、独立した異議、複数承認、記録、監査、任期・交代を組み合わせる。","実務原則","混合","権力抑制","組織・職場","fast-2012|colquitt-2001","過剰官僚化と緊急時の責任を設計","2026-07-12"
"PW-C08","低権力者の警戒・沈黙・慎重さを、性格や意欲の欠陥として評価しない。","実務原則","権力直接研究","低権力の反応","組織・職場","keltner-2003|morrison-2014","個人差・文化差を確認","2026-07-12"
"PW-C09","ネットワーク上の中心性は情報・影響力へ関係し得るが、公式な責任・正当性を自動的に与えない。","A","集団・ネットワーク隣接研究","ネットワーク権力","組織・職場","brass-1984|sparrowe-2001","観察研究|中心性を人の価値にしない","2026-07-12"
"PW-C10","情報の仲介者・ゲートキーパーが単一点障害や恣意的排除にならないよう、代替経路と記録を設ける。","実務原則","集団・ネットワーク隣接研究","情報アクセス","組織・職場","brass-1984|ibarra-1993","非公式支援を破壊しない|再特定防止","2026-07-12"
"PW-C11","少数者・新規参入者のネットワーク不足を「関係構築力」の欠陥にせず、会議、助言、スポンサー、情報機会の配分を監査する。","A","集団・ネットワーク隣接研究","ネットワーク格差","組織・職場","ibarra-1993|bunderson-2003","歴史的属性分類|交差性を確認","2026-07-12"
"PW-C12","専門性の影響力は、年齢、性別、役職等の地位手掛かりで歪み得るため、根拠と専門領域を明示する。","A","集団・ネットワーク隣接研究","専門性・地位","組織・職場","bunderson-2003","特定組織の観察研究","2026-07-12"
"PW-C13","地位をめぐる対立は課題内容の対立と別で、誰が上かという争いが情報利用・協働を損ない得る。","A","集団・ネットワーク隣接研究","地位対立","組織・職場","bendersky-hays-2012","短期集団研究|状況差","2026-07-12"
"PW-C14","組織政治の知覚は満足・コミットメント低下、ストレイン、退出意向等と関連する。","A","組織政治直接研究","メタ分析","組織・職場","chang-2009|miller-2008","相関研究中心|共通方法差|因果方向","2026-07-12"
"PW-C15","組織政治の知覚が高いことを、個別の不正・癒着・違法行為が立証されたことと同一視しない。","A","組織政治直接研究","知覚と事実","組織・職場","kacmar-ferris-1991|chang-2009","事実調査とサーベイを分ける","2026-07-12"
