"id","claim","label","directness","relationship","scope","sources","limits","last_human_verified"
"C01","感情労働は「感情的な人」の性格ではなく、仕事が一定の感情表出・抑制・調整を求める労働過程である。","A","感情労働直接研究","基本定義","顧客接点・感情労働・第三者危害","grandey-2000|grandey-gabriel-2015","職務・文化で要求が異なる|感情そのものを病理化しない","2026-07-12"
"C02","本人が感じる感情、組織が求める表示、実際に示した表情・声・言葉、顧客が知覚した表出を分けて扱う。","A","感情労働直接研究","構成概念境界","顧客接点・感情労働・第三者危害","morris-feldman-1996|mesmer-magnus-2011|groth-2009","各層の測定誤差|観察から内面を断定しない","2026-07-12"
"C03","表示規則は明文化された接客基準だけでなく、評価、顧客アンケート、ロールモデル、叱責、暗黙の「笑顔」規範からも伝わる。","A","感情労働直接研究","表示規則","顧客接点・感情労働・第三者危害","grandey-2000|goldberg-grandey-2007","規則知覚と実際の方針を分ける","2026-07-12"
"C04","表層演技、深層演技、自然な感情表出を別の戦略として測り、一つの善悪順位にしない。","A","感情労働直接研究","戦略の区別","顧客接点・感情労働・第三者危害","diefendorff-2005|hulsheger-schewe-2011|gross-1998|webb-2012","職場内外の感情調整研究を含む|状況・頻度・感情種類で変わる|本人の固定特性にしない","2026-07-12"
"C05","感情的不協和は、感じている感情と求められる／示す感情のずれであり、単なる「機嫌の悪さ」と区別する。","A","感情労働直接研究","感情的不協和","顧客接点・感情労働・第三者危害","morris-feldman-1996|zapf-2002","測定定義の差|短期適応と慢性曝露を分ける","2026-07-12"
"C06","顧客と接する仕事すべてを同じ感情労働とせず、頻度、強度、多様性、裁量、相互作用時間、危険を記録する。","実務原則","混合","曝露の記述","顧客接点・感情労働・第三者危害","brotheridge-lee-2003|bhave-glomb-2016","職業平均で個人を決めない","2026-07-12"
"C07","良い顧客評価が得られたことを、従業員が健康・安全だった証拠にしない。","実務原則","混合","成果の分離","顧客接点・感情労働・第三者危害","pugh-2001|hulsheger-schewe-2011","顧客結果と労働者結果を別測定","2026-07-12"
"C08","不満、異議、返金・修理・説明・合理的配慮の要求を、それだけでカスタマーハラスメントと呼ばない。","A","公式指針・制度","正当な申出との境界","顧客接点・感情労働・第三者危害","mhlw-customer-guideline-2026|tokyo-customer-guideline|japan-disability-act","要求内容、方法、頻度、時間、業務事情、権利を個別確認","2026-07-12"
"C09","要求内容に正当性があっても、暴行、脅迫、差別的・性的言動、長時間拘束、人格攻撃等の手段は別に評価する。","実務原則","公式指針・制度","内容と手段","顧客接点・感情労働・第三者危害","mhlw-customer-manual|mhlw-customer-guideline-2026|japan-act-63-2025","社会通念上の許容範囲は文脈判断|個別法的判断は専門確認","2026-07-12"
"C10","「顧客等」には購入者だけでなく、取引先、施設利用者、患者・家族、市民、乗客、学生、プラットフォーム利用者等が含まれ得る。","実務原則","公式指針・制度","第三者の範囲","顧客接点・感情労働・第三者危害","japan-act-63-2025|ilo-c190","適用主体は法令・契約・業務で確認","2026-07-12"
"C11","顧客による性的嫌がらせ、差別的言動、ストーキング、私的連絡要求を「接客の一部」として受忍させない。","A","暴力・ハラスメント直接研究","第三者ハラスメント","顧客接点・感情労働・第三者危害","gettman-gelfand-2007|fitzgerald-1997|ilo-c190","保護事由・犯罪該当性・緊急性を個別確認","2026-07-12"
"C12","暴行、武器、明確な危害予告、追跡、監禁、緊迫した自傷他害は通常苦情処理でなく、退避・通報・緊急支援を優先する。","実務原則","公式指針・制度","緊急事態","顧客接点・感情労働・第三者危害","mhlw-customer-manual|osha-workplace-violence","地域の緊急手順・警察・医療へ接続|従業員に単独対応させない","2026-07-12"
"C13","電話、メール、チャット、レビュー、SNS、録画配信、個人情報晒し、勤務外接触も業務に関係する危害として範囲に入れる。","実務原則","予防原則に基づく推論","オンライン危害","顧客接点・感情労働・第三者危害","ilo-c190|kellogg-2020","表現の自由・公益通報・正当な批評と区別|プラットフォーム規約を確認","2026-07-12"
"C14","無礼は低強度で害意が曖昧な言動として測り、暴力・脅迫・差別と同一カテゴリに潰さない。","A","暴力・ハラスメント直接研究","無礼の境界","顧客接点・感情労働・第三者危害","andersson-pearson-1999|cortina-2001|fisk-2010","意図を推定しない|類型を個人ラベルにしない|累積・文脈を確認","2026-07-12"
"C15","一回でも重大な行為と、低強度行為の反復・累積を別々に記録する。","実務原則","混合","重大性と反復","顧客接点・感情労働・第三者危害","lanctot-guay-2014|sliter-2012","件数だけで重症度を表さない","2026-07-12"
"C16","正当な顧客・患者・市民の権利行使、内部告発、報道、抗議を封じるためにカスハラ方針を使わない。","不支持","公式指針・制度","方針悪用の禁止","顧客接点・感情労働・第三者危害","tokyo-customer-guideline|japan-disability-act","違法性・公益性・安全を専門確認","2026-07-12"
"C17","障害、認知、精神状態、言語、文化、聴覚・発話特性によるコミュニケーション差を、行動の具体的評価なしに「危険客」とラベル付けしない。","不支持","公式指針・制度","差別防止","顧客接点・感情労働・第三者危害","japan-disability-act|ilo-c190","安全上の具体的行動は別に評価|合理的配慮を検討","2026-07-12"
"C18","顧客属性、顔、声、アクセント、診断歴、購買履歴から「カスハラ予測スコア」を作らない。","不支持","予防原則に基づく推論","予測プロファイリング","顧客接点・感情労働・第三者危害","japan-appi|kellogg-2020","代理差別・誤警報・目的外利用|具体的行動と状況を用いる","2026-07-12"
"C19","表層演技は平均的に感情的消耗、仕事不満、健康上の不利と関連する。","A","感情労働直接研究","表層演技の結果","顧客接点・感情労働・第三者危害","hulsheger-schewe-2011|chen-2024","相関研究中心|個人差・職務差|一回の表出から診断しない","2026-07-12"
"C20","深層演技の健康・業績との関連は表層演技と同じでなく、状況・目標・資源で混合する。","A","感情労働直接研究","深層演技の結果","顧客接点・感情労働・第三者危害","hulsheger-schewe-2011|grandey-2003","万能な推奨戦略ではない|感情変更を強制しない","2026-07-12"
"C21","自然な肯定的感情表出を第三の戦略として認めるが、感じられない人を不適格・不誠実と評価しない。","A","感情労働直接研究","自然な表出","顧客接点・感情労働・第三者危害","diefendorff-2005|grandey-2012","真正性の強制という矛盾を避ける","2026-07-12"
