"id","claim","label","directness","relationship","scope","sources","limits","last_human_verified"
"LD-C01","リーダーシップは地位者の性格だけでなく、影響、関係、仕事、フォロワー、集団、制度、文脈から生じる過程である。","A","リーダーシップ直接研究","理論・統合","定義","avolio-2009|dinh-2014|uhlbien-2014","研究系統ごとに定義が異なる|管理職地位と区別","2026-07-12"
"LD-C02","管理職であることとリーダーシップを発揮することは同義ではなく、公式権限には労務・安全・資源・救済の責任が伴う。","実務原則","混合","制度・理論からの設計原則","管理職","dinh-2014|who-2022|ilo-c190","責任を非公式リーダーへ転嫁しない","2026-07-12"
"LD-C03","組織成果を一人のリーダーへ過大帰属する「リーダーシップのロマンス」があり、制度・市場・資源・チームの寄与を分けて評価する。","A","リーダーシップ直接研究","理論・実験","帰属","meindl-1985","リーダーの実際の影響を否定しない","2026-07-12"
"LD-C04","有効なリーダー行動は課題、構成員、環境、時間、権限に依存し、単一の最良スタイルを全職場へ適用しない。","A","リーダーシップ直接研究","条件適合理論・統合","文脈","house-1971|avolio-2009|dinh-2014","古典理論を処方箋として直結しない","2026-07-12"
"LD-C05","変革型リーダーシップと条件付き報酬は複数の態度・業績結果と関連するが、相関研究と尺度の重複が多く、因果効果を断定できない。","A","リーダーシップ直接研究","メタ分析上の関連","変革型・取引型","judge-2004|wang-2011","共通方法|評価者バイアス|カリスマ化を避ける","2026-07-12"
"LD-C06","ビジョンや高い期待は、実現資源、安全限界、反対可能性、成果配分を伴わなければ、過重労働や同調圧力になり得る。","実務原則","混合","統合からの設計原則","ビジョン","judge-2004|harms-2017|who-2022","情熱を労働時間・安全の代替にしない","2026-07-12"
"LD-C07","オーセンティック・リーダーシップと変革型リーダーシップには強い概念重複があり、新しい名称だけで独自効果を主張しない。","A","リーダーシップ直接研究","メタ分析・レビュー","真正性","banks-2016|gardner-2011","測定・研究数|概念ブランド化に注意","2026-07-12"
"LD-C08","「真正さ」は私生活・感情・健康・アイデンティティの開示をリーダーや構成員へ強制することではない。","実務原則","混合","権利・概念境界","真正性・プライバシー","gardner-2011|ilo-data","必要最小限の自己開示|演技を不誠実と決めつけない","2026-07-12"
"LD-C09","サーバント・リーダーシップは他者志向と共同体への責任を強調するが、管理職の自己犠牲、無償ケア、境界なき奉仕を求めない。","B","リーダーシップ直接研究","システマティックレビュー","サーバント","eva-2019","概念・尺度の乱立|介入効果の確立ではない","2026-07-12"
"LD-C10","倫理的リーダーシップは望ましい態度・行動と関連するが、人格評判だけでなく、意思決定、利益相反、通報、監査、是正、配分を評価する。","A","混合","メタ分析・制度原則","倫理","brown-2005|bedi-2016|ilo-c190","相関研究中心|倫理的自己像と実際の制度を区別","2026-07-12"
"LD-C11","エンパワリング・リーダーシップは複数結果と関連するが、権限・情報・能力・時間・予算なしに責任だけを移すこととは異なる。","A","リーダーシップ直接研究","メタ分析・測定","エンパワリング","amundsen-2014|lee-2018","職務・文化・本人希望|放任と区別","2026-07-12"
"LD-C12","権限付与は自己効力感を高め得る一方、負担と不確実性を増やし得るため、望む裁量・支援・安全網を確認する。","B","リーダーシップ直接研究","多時点実証","エンパワリング","cheong-2016|lee-2018","観察研究|個人差・仕事差","2026-07-12"
"LD-C13","放任型リーダーシップは中立とは限らず、役割ストレスや破壊的結果と関連し得る。裁量付与と責任放棄を区別する。","A","リーダーシップ直接研究","メタ分析・実証","放任","judge-2004|skogstad-2007","観察研究|不介入が必要な場面を別途判断","2026-07-12"
