"id","claim","label","relationship","scope","sources","limits","last_human_verified"
"OJ-C01","組織的公正は、職場の結果、意思決定手続き、対人扱い、説明に関する公正判断を扱う。","A","定義","組織的公正研究","greenberg-1990-review|colquitt-2001-scale","法律上・倫理上の正しさそのものとは同義でない","2026-07-12"
"OJ-C02","分配的、手続き的、対人的、情報的公正は関連するが、区別して測る根拠がある。","A","測定構造","4次元モデル","colquitt-2001-scale|colquitt-2001-meta","尺度・文化・判断対象で構造が変わり得る","2026-07-12"
"OJ-C03","分配の公正は、衡平だけでなく平等・必要等の規則を使う場合があり、唯一の万能配分則はない。","A","規範的枠組み","配分判断","adams-1965|leventhal-1980","どの規則を採用するかは目的・権利・法制度で異なる","2026-07-12"
"OJ-C04","公正な手続きには、一貫性、偏り抑制、正確性、修正可能性、代表性、倫理性が含まれる。","A","理論基準","手続き的公正","leventhal-1980","基準間の衝突は対話と説明責任を要する","2026-07-12"
"OJ-C05","公正認知は仕事満足、組織コミットメント、信頼等と平均して正に関連する。","A","関連","複数職種・国","colquitt-2001-meta|cohen-charash-2001|cohen-charash-erratum-2002|colquitt-2013","横断研究が多い|概念重複・共通方法バイアス|Cohen-Charash & Spectorは訂正記事も参照","2026-07-12"
"OJ-C06","公正認知はタスク業績・組織市民行動と平均して正に関連する。","A","主に関連","職場行動","moorman-1991|colquitt-2001-meta|colquitt-2013","効果は中小規模|高業績を保証しない|逆方向・第三変数","2026-07-12"
"OJ-C07","不公正認知は離脱、報復、反生産的行動と関連する。","A","主に関連","職場行動","skarlicki-folger-1997|greenberg-1990-theft|colquitt-2013","不正行為を正当化しない|特定研究を一般化しすぎない","2026-07-12"
"OJ-C08","低い公正認知は精神・身体健康指標の不良と関連する。","A","関連、一部前向き","労働者健康","robbins-2012|ndjaboue-2012|kivimaki-2005|scalabrin-2022","観察研究|自己報告|残余交絡|診断尺度ではない","2026-07-12"
"OJ-C09","日本の前向き研究では、公正認知と後の心理的不調、不眠、受診控え、自己報告業績の関連が検討されている。","B","前向き関連","日本の特定企業・職域","inoue-2013-prospective|nakagawa-2015|hayashi-2017|inoue-2019-care","結果は次元・雇用群で一様でない|企業・業種の一般化に注意","2026-07-12"
"OJ-C10","公正と業績・協力の関係の一部は、信頼、コミットメント、支援認知、感情等で説明される可能性がある。","B","統計的媒介","メタ分析","tyler-blader-2003|colquitt-2013","媒介分析だけで因果機序を証明しない","2026-07-12"
"OJ-C11","誰が公正・不公正だったか（上司、組織、チーム等）と、どの対象への反応かを合わせる価値がある。","A","焦点対応","多焦点研究","rupp-2014","主体が複数・曖昧な意思決定もある","2026-07-12"
"OJ-C12","チームの公正風土を扱うには、平均だけでなく成員間の合意度と集約根拠が必要である。","B","集団レベル","チーム研究","colquitt-noe-2002","個人得点の単純平均では不十分","2026-07-12"
"OJ-C13","日本語版OJQには手続き的・相互作用的公正の信頼性・妥当性検証がある。","B","測定妥当性","日本の製造業労働者","inoue-2009-scale","単一工場・小規模|4次元Colquitt尺度とは別|女性で因子差","2026-07-12"
"OJ-C14","公正なリーダー行動の研修で市民行動が改善した古典的フィールド実験がある。","C","介入効果","労働組合","skarlicki-latham-1996|skarlicki-latham-1997","小規模・特定文脈|現代の大規模組織介入の根拠は不足","2026-07-12"
"OJ-C15","十分な説明と尊重ある扱いは不公正反応を緩和し得るが、不公正な決定自体を正当化しない。","B","実験的調整効果と倫理限界","不利益決定","greenberg-1990-theft|greenberg-1993","説明は実質的是正・異議申立ての代替ではない","2026-07-12"
"OJ-C16","全体的公正判断だけでは、どの分配・手続き・対人・情報を直すべきか特定できない。","A","測定上の注意","全体公正","ambrose-schminke-2009|colquitt-2001-scale","全体判断にも結果予測上の価値はある","2026-07-12"
"OJ-C17","従業員が公正と回答したことだけで、差別、賃金格差、違法性、権利侵害がないとは結論できない。","不支持","推論・倫理","法務・DEI・監査","greenberg-1990-review|ilo-c111","認知指標と客観・法的指標を併用する|各国法・批准状況を別途確認する","2026-07-12"
"OJ-C18","発言機会を設けただけで、意見が検討・反映されない手続きを参加型とみなすことはできない。","実務原則","参加・権力","意思決定手続き","leventhal-1980|tyler-blader-2003","全意見を採用する義務とは異なり、検討・理由・修正可能性が必要","2026-07-12"
"OJ-C19","公正得点による個人管理職ランキング、報酬直結、懲戒は研究上支持されない。","不支持","用途判断","人事評価","colquitt-2001-scale|colquitt-noe-2002","集団改善用測定と高重要度個人判断は必要精度が異なる","2026-07-12"
"OJ-C20","調査後に結果を返さず、改善責任・期限・異議申立て経路を示さないことは、本ナビの公正実装原則に反する。","実務原則","調査倫理","組織サーベイ","leventhal-1980|who-2022","法的助言ではない","2026-07-12"
